bvn,state_of_origin,state_of_residence,local_government_area,source_of_income
20000000094,Katsina,Gombe,Kaltungo,Agriculture
20000000095,Delta,Gombe,Gombe,Freelancing
20000000096,Jigawa,Katsina,Daura,Salary
20000000097,Taraba,Niger,Minna,Freelancing
20000000098,Sokoto,Ebonyi,Abakaliki,Business
20000000099,Akwa Ibom,Delta,Oshimili South,Business
20000000100,Imo,Akwa Ibom,Uyo,Agriculture
20000000101,Kano,Kaduna,Kaduna South,Freelancing
20000000102,Katsina,Rivers,Port Harcourt,Business
20000000103,Anambra,Imo,Owerri Municipal,Business
20000000104,Akwa Ibom,Jigawa,Dutse,Agriculture
20000000105,Ogun,Kogi,Okene,Freelancing
20000000106,Nasarawa,Plateau,Jos South,Salary
20000000107,Benue,Oyo,Ibadan North,Business
20000000108,Edo,Oyo,Oyo East,Freelancing
20000000109,Jigawa,Oyo,Ogbomosho North,Investment
20000000110,Akwa Ibom,Anambra,Awka South,Mixed
20000000111,Kano,Lagos,Eti-Osa,Agriculture
20000000112,Anambra,Ondo,Owo,Business
20000000113,Zamfara,Bayelsa,Ogbia,Salary
20000000114,Edo,Ekiti,Oye,Agriculture
20000000115,Rivers,Delta,Oshimili South,Business
20000000116,Delta,Jigawa,Hadejia,Agriculture
20000000117,Bauchi,Bayelsa,Yenagoa,Remittance
20000000118,Yobe,Sokoto,Tambuwal,Salary
20000000119,Cross River,Anambra,Onitsha North,Business
20000000120,Oyo,Delta,Udu,Salary
20000000121,Yobe,Gombe,Kaltungo,Salary
20000000122,Adamawa,Abia,Aba South,Business
20000000123,Lagos,Ogun,Sagamu,Business
20000000124,Lagos,Gombe,Gombe,Agriculture
20000000125,FCT,Adamawa,Yola North,Salary
20000000126,Ondo,Enugu,Enugu South,Salary
20000000127,Benue,Kaduna,Kaduna South,Mixed
20000000128,Gombe,Kogi,Lokoja,Salary
20000000129,Taraba,Ekiti,Oye,Business
20000000130,Edo,Adamawa,Yola North,Contract
20000000131,Delta,Gombe,Gombe,Remittance
20000000132,Ogun,Adamawa,Mubi North,Agriculture
20000000133,Ebonyi,Ogun,Abeokuta South,Business
20000000134,Kwara,Nasarawa,Keffi,Business
20000000135,Kogi,Kwara,Ilorin West,Salary
20000000136,Sokoto,Ondo,Owo,Salary
20000000137,Ondo,Edo,Ikpoba-Okha,Freelancing
20000000138,Yobe,Cross River,Calabar Municipal,Freelancing
20000000139,Zamfara,Gombe,Kaltungo,Business
20000000140,Lagos,Adamawa,Yola North,Business
20000000141,Ekiti,Delta,Warri South,Salary
20000000142,Rivers,Ekiti,Ado-Ekiti,Salary
20000000143,Imo,Kano,Gwale,Investment
20000000144,Edo,Cross River,Ikom,Business
20000000145,Kogi,Lagos,Yaba,Agriculture
20000000146,Kogi,Imo,Owerri Municipal,Agriculture
20000000147,Jigawa,Kano,Nassarawa,Agriculture
20000000148,Anambra,Bauchi,Azare,Agriculture
20000000149,Zamfara,Taraba,Wukari,Agriculture
20000000150,Sokoto,Niger,Minna,Business
20000000151,Anambra,Kano,Tarauni,Business
20000000152,Plateau,Borno,Maiduguri,Investment
20000000153,Nasarawa,Akwa Ibom,Eket,Freelancing
20000000154,Delta,Kebbi,Argungu,Freelancing
20000000155,Jigawa,Anambra,Awka South,Investment
20000000156,Edo,Kebbi,Birnin Kebbi,Mixed
20000000157,Nasarawa,Gombe,Gombe,Business
20000000158,Akwa Ibom,Gombe,Gombe,Salary
20000000159,Rivers,Enugu,Enugu North,Salary
20000000160,Anambra,Bauchi,Bauchi,Investment
20000000161,Akwa Ibom,Niger,Suleja,Business
20000000162,Bayelsa,Kano,Tarauni,Investment
20000000163,Niger,Borno,Maiduguri,Agriculture
20000000164,Kogi,Kwara,Offa,Salary
20000000165,Bauchi,Kogi,Okene,Business
20000000166,Kwara,Kaduna,Zaria,Freelancing
20000000167,Gombe,Zamfara,Gusau,Agriculture
20000000168,Ebonyi,Ondo,Ondo West,Salary
20000000169,Ogun,Abia,Umuahia North,Agriculture
20000000170,Oyo,Rivers,Eleme,Salary
20000000171,Anambra,Jigawa,Hadejia,Business
20000000172,Abia,Katsina,Daura,Business
20000000173,Gombe,Kaduna,Zaria,Informal
20000000174,Kogi,Benue,Otukpo,Agriculture
20000000175,Rivers,Delta,Warri South,Agriculture
20000000176,Kogi,Oyo,Oyo East,Agriculture
20000000177,Jigawa,Ogun,Ijebu Ode,Freelancing
20000000178,Anambra,Kogi,Okene,Contract
20000000179,Taraba,Anambra,Awka South,Business
20000000180,Anambra,Abia,Umuahia North,Salary
20000000181,Delta,Bauchi,Azare,Contract
20000000182,Niger,Gombe,Kaltungo,Business
20000000183,Niger,Edo,Oredo,Mixed
20000000184,Benue,Ekiti,Ikere,Investment
20000000185,Katsina,Taraba,Wukari,Freelancing
20000000186,Niger,Akwa Ibom,Eket,Business
20000000187,Kano,Osun,Ife Central,Business
20000000188,Gombe,Kebbi,Argungu,Salary
20000000189,Katsina,Oyo,Ibadan North,Salary
20000000190,FCT,Kaduna,Zaria,Salary
20000000191,Kaduna,Yobe,Damaturu,Business
20000000192,Benue,Zamfara,Kaura Namoda,Agriculture
20000000193,Rivers,Nasarawa,Lafia,Contract
20000000194,Imo,Taraba,Wukari,Salary
20000000195,Plateau,Osun,Ilesa East,Mixed
20000000196,Delta,Edo,Ikpoba-Okha,Salary
20000000197,Benue,Kano,Gwale,Agriculture
20000000198,Kogi,Nasarawa,Lafia,Freelancing
20000000199,Kwara,Osun,Ilesa East,Business
20000000200,Rivers,Bayelsa,Yenagoa,Freelancing
20000000201,Ekiti,Plateau,Jos North,Business
20000000202,Akwa Ibom,Jigawa,Dutse,Salary
20000000203,Katsina,Sokoto,Tambuwal,Salary
20000000204,Enugu,Cross River,Ikom,Remittance
20000000205,Benue,Cross River,Calabar Municipal,Agriculture
20000000206,Imo,Akwa Ibom,Uyo,Salary
20000000207,Ogun,Katsina,Daura,Salary
20000000208,Adamawa,Enugu,Enugu South,Freelancing
20000000209,Ogun,Sokoto,Sokoto North,Investment
20000000210,Kaduna,Niger,Bida,Business
20000000211,Enugu,Kaduna,Kaduna North,Mixed
20000000212,Katsina,Kano,Gwale,Salary
20000000213,Kogi,Rivers,Okrika,Contract
20000000214,Zamfara,Ebonyi,Afikpo North,Business
20000000215,Osun,Taraba,Jalingo,Investment
20000000216,FCT,Yobe,Potiskum,Business
20000000217,Kaduna,Ogun,Abeokuta South,Contract
20000000218,Bayelsa,Kogi,Lokoja,Business
20000000219,Taraba,Imo,Orlu,Remittance
20000000220,Zamfara,Anambra,Awka South,Investment
20000000221,Akwa Ibom,Delta,Oshimili South,Agriculture
20000000222,Lagos,Delta,Oshimili South,Salary
20000000223,Imo,Abia,Aba South,Business
20000000224,Niger,Adamawa,Mubi North,Business
20000000225,FCT,Gombe,Gombe,Agriculture
20000000226,Sokoto,Bauchi,Azare,Salary
20000000227,Ondo,Bayelsa,Yenagoa,Remittance
20000000228,Akwa Ibom,Bayelsa,Ogbia,Remittance
20000000229,Abia,Cross River,Calabar Municipal,Investment
20000000230,Imo,Jigawa,Hadejia,Agriculture
20000000231,Yobe,Adamawa,Yola North,Investment
20000000232,Cross River,Nasarawa,Lafia,Contract
20000000233,Edo,Cross River,Ikom,Freelancing
20000000234,Benue,Enugu,Nsukka,Investment
20000000235,Ebonyi,Bayelsa,Yenagoa,Freelancing
20000000236,Niger,Gombe,Gombe,Business
20000000237,Sokoto,Delta,Udu,Salary
20000000238,Katsina,Ekiti,Oye,Salary
20000000239,Kebbi,Ondo,Akure South,Remittance
20000000240,Yobe,Abia,Umuahia North,Freelancing
20000000241,Adamawa,Yobe,Potiskum,Mixed
20000000242,Anambra,Ekiti,Oye,Salary
20000000243,Nasarawa,Abia,Aba South,Business
20000000244,Abia,FCT,Bwari,Salary
20000000245,Delta,Yobe,Damaturu,Freelancing
20000000246,Adamawa,Zamfara,Kaura Namoda,Salary
20000000247,Kebbi,Oyo,Ibadan North,Investment
20000000248,Rivers,Ebonyi,Afikpo North,Agriculture
20000000249,Zamfara,Ekiti,Ikere,Salary
20000000250,Enugu,Kwara,Offa,Salary
20000000251,Bauchi,Osun,Ilesa East,Freelancing
20000000252,Plateau,Katsina,Katsina,Business
20000000253,Ogun,Lagos,Surulere,Business
20000000254,Nasarawa,Taraba,Wukari,Investment
20000000255,Anambra,Bauchi,Bauchi,Contract
20000000256,Ebonyi,Ekiti,Ikere,Informal
20000000257,Kebbi,Borno,Biu,Business
20000000258,Kogi,Abia,Aba South,Salary
20000000259,Taraba,Zamfara,Kaura Namoda,Salary
20000000260,Ondo,Benue,Otukpo,Salary
20000000261,Ebonyi,Oyo,Ogbomosho North,Informal
20000000262,Ogun,Ebonyi,Abakaliki,Investment
20000000263,Zamfara,Niger,Bida,Mixed
20000000264,Kogi,Ekiti,Ado-Ekiti,Business
20000000265,Ondo,Nasarawa,Lafia,Business
20000000266,Gombe,Jigawa,Dutse,Freelancing
20000000267,Ebonyi,Katsina,Katsina,Salary
20000000268,Ondo,Gombe,Gombe,Business
20000000269,Lagos,Cross River,Ikom,Investment
20000000270,Taraba,Edo,Oredo,Freelancing
20000000271,Edo,Kano,Tarauni,Business
20000000272,Osun,Adamawa,Mubi North,Contract
20000000273,Rivers,Nasarawa,Lafia,Business
20000000274,Borno,Kogi,Okene,Salary
20000000275,Ebonyi,Borno,Biu,Salary
20000000276,Ekiti,Bauchi,Bauchi,Salary
20000000277,Anambra,Jigawa,Hadejia,Salary
20000000278,Taraba,Borno,Biu,Salary
20000000279,Gombe,Anambra,Awka South,Salary
20000000280,Katsina,Kaduna,Kaduna South,Salary
20000000281,Yobe,Bayelsa,Ogbia,Business
20000000282,Jigawa,Delta,Oshimili South,Agriculture
20000000283,Edo,Bayelsa,Ogbia,Business
20000000284,Ondo,Zamfara,Gusau,Business
20000000285,Adamawa,Taraba,Wukari,Salary
20000000286,Katsina,Ondo,Ondo West,Salary
20000000287,FCT,Zamfara,Gusau,Salary
20000000288,Bauchi,Benue,Makurdi,Business
20000000289,Adamawa,Katsina,Katsina,Business
20000000290,Yobe,Cross River,Calabar Municipal,Salary
20000000291,Osun,Borno,Biu,Contract
20000000292,Edo,Ekiti,Ikere,Investment
20000000293,Ondo,Ondo,Akure South,Salary
20000000294,Ebonyi,Borno,Biu,Freelancing
20000000295,Yobe,FCT,Gwagwalada,Freelancing
20000000296,Anambra,Adamawa,Yola North,Remittance
20000000297,Ekiti,Sokoto,Tambuwal,Agriculture
20000000298,Borno,Benue,Gboko,Business
20000000299,Oyo,Kwara,Ilorin East,Agriculture
20000000300,Rivers,Borno,Biu,Salary
20000000301,Jigawa,Taraba,Wukari,Business
20000000302,Ekiti,Sokoto,Tambuwal,Remittance
20000000303,Imo,Rivers,Port Harcourt,Salary
20000000304,Sokoto,Nasarawa,Lafia,Freelancing
20000000305,Jigawa,Taraba,Jalingo,Remittance
20000000306,Katsina,Yobe,Potiskum,Salary
20000000307,Taraba,Adamawa,Yola North,Agriculture
20000000308,Sokoto,Cross River,Calabar Municipal,Business
20000000309,Lagos,Ebonyi,Abakaliki,Salary
20000000310,Nasarawa,Kebbi,Argungu,Salary
20000000311,Kwara,Rivers,Okrika,Salary
20000000312,Enugu,Zamfara,Gusau,Business
20000000313,Sokoto,Sokoto,Sokoto North,Salary
20000000314,Enugu,Ebonyi,Afikpo North,Agriculture
20000000315,Kaduna,Kaduna,Kaduna North,Salary
20000000316,Ebonyi,Borno,Biu,Freelancing
20000000317,Edo,Borno,Maiduguri,Investment
20000000318,Ekiti,Imo,Orlu,Contract
20000000319,Jigawa,Edo,Egor,Salary
20000000320,Kebbi,Edo,Egor,Agriculture
20000000321,Borno,Ebonyi,Afikpo North,Salary
20000000322,Taraba,Katsina,Katsina,Agriculture
20000000323,Niger,Oyo,Oyo East,Contract
20000000324,Jigawa,Ondo,Owo,Business
20000000325,Kebbi,Cross River,Calabar Municipal,Salary
20000000326,Borno,Nasarawa,Lafia,Salary
20000000327,Katsina,Lagos,Alimosho,Freelancing
20000000328,Kano,Oyo,Ogbomosho North,Agriculture
20000000329,Anambra,Benue,Gboko,Freelancing
20000000330,Adamawa,Anambra,Awka South,Salary
20000000331,Ebonyi,Yobe,Damaturu,Agriculture
20000000332,Edo,Edo,Ikpoba-Okha,Salary
20000000333,Rivers,Jigawa,Dutse,Business
20000000334,Bayelsa,Oyo,Ogbomosho North,Salary
20000000335,Adamawa,Cross River,Ikom,Business
20000000336,Kwara,Bauchi,Azare,Informal
20000000337,Adamawa,Rivers,Port Harcourt,Salary
20000000338,Anambra,Niger,Bida,Freelancing
20000000339,Ogun,Borno,Biu,Agriculture
20000000340,Akwa Ibom,Gombe,Gombe,Business
20000000341,Delta,Ebonyi,Abakaliki,Salary
20000000342,Oyo,Ebonyi,Afikpo North,Salary
20000000343,Bauchi,Adamawa,Yola North,Salary
20000000344,Bayelsa,Kebbi,Birnin Kebbi,Investment
20000000345,Kwara,Anambra,Nnewi North,Salary
20000000346,Jigawa,Ekiti,Ado-Ekiti,Salary
20000000347,Borno,Kaduna,Kaduna North,Agriculture
20000000348,Enugu,Benue,Otukpo,Business
20000000349,Cross River,Kaduna,Zaria,Business
20000000350,Edo,Sokoto,Sokoto North,Freelancing
20000000351,Kebbi,Yobe,Potiskum,Salary
20000000352,Ekiti,Sokoto,Tambuwal,Business
20000000353,Enugu,Akwa Ibom,Eket,Investment
20000000354,Ogun,Akwa Ibom,Uyo,Business
20000000355,Oyo,Ebonyi,Afikpo North,Salary
20000000356,Delta,Benue,Gboko,Business
20000000357,Lagos,Plateau,Jos South,Salary
20000000358,FCT,Kaduna,Zaria,Salary
20000000359,Ebonyi,Abia,Umuahia North,Salary
20000000360,Lagos,Kogi,Okene,Mixed
20000000361,Ekiti,Osun,Osogbo,Mixed
20000000362,Nasarawa,Delta,Oshimili South,Freelancing
20000000363,Ekiti,Plateau,Barkin Ladi,Salary
20000000364,FCT,Osun,Osogbo,Salary
20000000365,Plateau,Adamawa,Yola North,Contract
20000000366,Delta,Bayelsa,Ogbia,Salary
20000000367,Benue,FCT,Abuja Municipal,Salary
20000000368,Yobe,Borno,Maiduguri,Agriculture
20000000369,Bayelsa,Benue,Makurdi,Business
20000000370,Akwa Ibom,Kebbi,Birnin Kebbi,Salary
20000000371,Ekiti,Bayelsa,Ogbia,Business
20000000372,Taraba,Jigawa,Dutse,Agriculture
20000000373,Kaduna,FCT,Bwari,Agriculture
20000000374,Nasarawa,Sokoto,Tambuwal,Business
20000000375,Ondo,Borno,Biu,Salary
20000000376,Jigawa,FCT,Kuje,Investment
20000000377,Niger,Kano,Fagge,Business
20000000378,Taraba,Rivers,Okrika,Agriculture
20000000379,Oyo,Sokoto,Tambuwal,Business
20000000380,Ebonyi,Adamawa,Mubi North,Salary
20000000381,Abia,Osun,Ilesa East,Business
20000000382,Edo,Ogun,Abeokuta South,Agriculture
20000000383,Zamfara,Anambra,Onitsha North,Agriculture
20000000384,Oyo,Kwara,Ilorin West,Agriculture
20000000385,Nasarawa,Borno,Biu,Business
20000000386,Lagos,Yobe,Damaturu,Agriculture
20000000387,Borno,Zamfara,Kaura Namoda,Informal
20000000388,Adamawa,Ogun,Ado-Odo/Ota,Business
20000000389,Rivers,Lagos,Alimosho,Business
20000000390,Cross River,Enugu,Enugu South,Agriculture
20000000391,Ogun,Akwa Ibom,Eket,Business
20000000392,Ekiti,Anambra,Onitsha North,Agriculture
20000000393,Bayelsa,Niger,Bida,Business
20000000394,Yobe,Kwara,Offa,Investment
20000000395,Edo,Rivers,Obio-Akpor,Salary
20000000396,Edo,Sokoto,Sokoto North,Salary
20000000397,Sokoto,Kogi,Okene,Business
20000000398,Bayelsa,Nasarawa,Lafia,Salary
20000000399,Ondo,Oyo,Ibadan South-West,Business
20000000400,Ekiti,Imo,Owerri Municipal,Business
20000000401,Anambra,Zamfara,Gusau,Freelancing
20000000402,Akwa Ibom,Kaduna,Zaria,Business
20000000403,Lagos,Cross River,Ikom,Business
20000000404,Rivers,Delta,Warri South,Business
20000000405,Oyo,Jigawa,Hadejia,Salary
20000000406,Rivers,Ekiti,Ado-Ekiti,Business
20000000407,Katsina,Niger,Minna,Freelancing
20000000408,Plateau,Edo,Ikpoba-Okha,Business
20000000409,FCT,Ebonyi,Afikpo North,Informal
20000000410,Oyo,FCT,Abuja Municipal,Freelancing
20000000411,Plateau,Akwa Ibom,Eket,Salary
20000000412,Gombe,Niger,Minna,Salary
20000000413,Borno,FCT,Bwari,Investment
20000000414,Bauchi,Ekiti,Ado-Ekiti,Business
20000000415,Zamfara,Enugu,Nsukka,Agriculture
20000000416,Edo,Taraba,Wukari,Salary
20000000417,Kebbi,Ekiti,Ado-Ekiti,Freelancing
20000000418,FCT,Kwara,Ilorin East,Agriculture
20000000419,Kogi,Bauchi,Azare,Remittance
20000000420,Plateau,Taraba,Jalingo,Agriculture
20000000421,Kebbi,Jigawa,Hadejia,Business
20000000422,Bauchi,Bauchi,Azare,Salary
20000000423,Lagos,Oyo,Ogbomosho North,Business
20000000424,Kaduna,Nasarawa,Lafia,Freelancing
20000000425,Sokoto,Edo,Oredo,Business
20000000426,Bauchi,Oyo,Ogbomosho North,Investment
20000000427,Kwara,Borno,Maiduguri,Agriculture
20000000428,Niger,Yobe,Potiskum,Business
20000000429,Kaduna,Ebonyi,Abakaliki,Business
20000000430,Ogun,Katsina,Katsina,Freelancing
20000000431,Taraba,Lagos,Yaba,Salary
20000000432,Katsina,Cross River,Calabar Municipal,Business
20000000433,Ogun,Bauchi,Bauchi,Salary
20000000434,Enugu,Akwa Ibom,Uyo,Freelancing
20000000435,Kogi,Imo,Orlu,Salary
20000000436,Edo,Kaduna,Kafanchan,Informal
20000000437,FCT,Sokoto,Sokoto North,Informal
20000000438,Anambra,Adamawa,Yola North,Salary
20000000439,Bayelsa,Ogun,Abeokuta South,Freelancing
20000000440,Enugu,Adamawa,Yola North,Salary
20000000441,Kogi,Ogun,Sagamu,Business
20000000442,Gombe,Borno,Maiduguri,Business
20000000443,Anambra,Abia,Aba South,Mixed
20000000444,Ekiti,Ondo,Ondo West,Salary
20000000445,FCT,Ondo,Ondo West,Freelancing
20000000446,Jigawa,Ebonyi,Abakaliki,Agriculture
20000000447,Edo,Nasarawa,Keffi,Salary
20000000448,Jigawa,Nasarawa,Lafia,Freelancing
20000000449,Osun,Imo,Orlu,Freelancing
20000000450,Anambra,Benue,Gboko,Investment
20000000451,Abia,Taraba,Wukari,Salary
20000000452,Yobe,Delta,Warri South,Freelancing
20000000453,Kogi,Kebbi,Argungu,Remittance
20000000454,Gombe,Kaduna,Zaria,Business
20000000455,Kano,Kebbi,Birnin Kebbi,Salary
20000000456,Abia,Ebonyi,Abakaliki,Business
20000000457,Delta,Lagos,Eti-Osa,Business
20000000458,Gombe,Kebbi,Argungu,Agriculture
20000000459,Anambra,Ekiti,Ado-Ekiti,Business
20000000460,Kwara,Gombe,Gombe,Salary
20000000461,Akwa Ibom,Kano,Nassarawa,Business
20000000462,Benue,Oyo,Ibadan South-West,Agriculture
20000000463,Oyo,Ogun,Abeokuta South,Contract
20000000464,Kebbi,Osun,Osogbo,Salary
20000000465,Gombe,Imo,Orlu,Freelancing
20000000466,Kebbi,Oyo,Oyo East,Agriculture
20000000467,Abia,Borno,Biu,Mixed
20000000468,Yobe,Abia,Umuahia North,Agriculture
20000000469,Taraba,Ondo,Akure South,Informal
20000000470,Plateau,Adamawa,Mubi North,Agriculture
20000000471,FCT,Kwara,Offa,Investment
20000000472,Delta,Oyo,Ogbomosho North,Salary
20000000473,FCT,Oyo,Oyo East,Salary
20000000474,Plateau,Gombe,Gombe,Salary
20000000475,Sokoto,Cross River,Calabar Municipal,Freelancing
20000000476,Edo,Kaduna,Kaduna North,Freelancing
20000000477,Anambra,Ondo,Ondo West,Salary
20000000478,Plateau,Kaduna,Zaria,Business
20000000479,Anambra,Niger,Minna,Business
20000000480,Edo,Kebbi,Birnin Kebbi,Business
20000000481,Ogun,Rivers,Port Harcourt,Investment
20000000482,Enugu,Niger,Suleja,Business
20000000483,Imo,Jigawa,Dutse,Remittance
20000000484,Oyo,Abia,Umuahia North,Agriculture
20000000485,Plateau,Ekiti,Ado-Ekiti,Agriculture
20000000486,Taraba,Yobe,Potiskum,Freelancing
20000000487,Niger,Katsina,Daura,Salary
20000000488,Ondo,Oyo,Ibadan South-West,Business
20000000489,Imo,Taraba,Jalingo,Business
20000000490,Kano,Lagos,Alimosho,Business
20000000491,Sokoto,Ebonyi,Abakaliki,Salary
20000000492,Kaduna,Ebonyi,Abakaliki,Business
20000000493,Jigawa,Bauchi,Azare,Business
20000000494,Gombe,Zamfara,Gusau,Freelancing
20000000495,Abia,Cross River,Ikom,Salary
20000000496,Anambra,Kebbi,Argungu,Agriculture
20000000497,Sokoto,Ebonyi,Abakaliki,Contract
20000000498,Nasarawa,Kebbi,Argungu,Salary
20000000499,Kwara,Delta,Warri South,Business
20000000500,Zamfara,Sokoto,Tambuwal,Salary
20000000501,Edo,Anambra,Awka South,Business
20000000502,Nasarawa,Ogun,Abeokuta South,Business
20000000503,Kano,Osun,Osogbo,Salary
20000000504,Sokoto,Sokoto,Sokoto North,Contract
20000000505,Ebonyi,Cross River,Calabar Municipal,Investment
20000000506,Ogun,Enugu,Nsukka,Investment
20000000507,Taraba,Lagos,Surulere,Remittance
20000000508,Taraba,Edo,Ikpoba-Okha,Freelancing
20000000509,Gombe,Niger,Bida,Salary
20000000510,Benue,Niger,Suleja,Freelancing
20000000511,Niger,Kogi,Okene,Contract
20000000512,Borno,Imo,Orlu,Informal
20000000513,Rivers,Kano,Fagge,Business
20000000514,Ondo,Cross River,Calabar Municipal,Investment
20000000515,Niger,Katsina,Katsina,Business
20000000516,Adamawa,Niger,Suleja,Contract
20000000517,Delta,Jigawa,Hadejia,Freelancing
20000000518,Anambra,Plateau,Jos North,Remittance
20000000519,Taraba,Kaduna,Zaria,Investment
20000000520,Jigawa,Ekiti,Ado-Ekiti,Mixed
20000000521,Anambra,Imo,Orlu,Agriculture
20000000522,Bayelsa,Niger,Minna,Remittance
20000000523,Oyo,Cross River,Calabar Municipal,Freelancing
20000000524,Lagos,Ekiti,Oye,Business
20000000525,Anambra,Ekiti,Ikere,Salary
20000000526,Gombe,Taraba,Wukari,Salary
20000000527,Zamfara,Kogi,Lokoja,Business
20000000528,Ekiti,Kebbi,Argungu,Contract
20000000529,Bayelsa,Osun,Ife Central,Salary
20000000530,Kaduna,Osun,Ilesa East,Freelancing
20000000531,Enugu,Gombe,Kaltungo,Contract
20000000532,Kano,Akwa Ibom,Eket,Salary
20000000533,Nasarawa,Borno,Maiduguri,Salary
20000000534,Ebonyi,Rivers,Okrika,Investment
20000000535,Imo,Benue,Makurdi,Business
20000000536,Jigawa,Plateau,Barkin Ladi,Salary
20000000537,Niger,Yobe,Potiskum,Salary
20000000538,Abia,Delta,Oshimili South,Mixed
