account_id,bvn,bank_code,bank_name,masked_account_number,account_type,currency,opened_date,status
ACC_0000051,20000000050,ACCESS,Access Bank,42****9992,Savings,NGN,2016-04-12,Active
ACC_0000052,20000000051,UBA,United Bank for Africa,66****9007,Wallet,NGN,2018-02-09,Active
ACC_0000053,20000000052,GTB,Guaranty Trust Bank,35****7235,Savings,NGN,2021-12-05,Active
ACC_0000054,20000000053,ZENITH,Zenith Bank,54****6010,Savings,NGN,2025-10-20,Active
ACC_0000055,20000000054,STANBIC,Stanbic IBTC,43****8201,Savings,NGN,2021-12-20,Active
ACC_0000056,20000000055,WEMA,Wema Bank,79****8872,Current,NGN,2016-12-12,Active
ACC_0000057,20000000056,ZENITH,Zenith Bank,87****0671,Current,NGN,2020-11-09,Dormant
ACC_0000058,20000000057,UBA,United Bank for Africa,75****0442,Savings,NGN,2021-02-25,Active
ACC_0000059,20000000058,POLARIS,Polaris Bank,06****5045,Current,NGN,2023-10-17,Active
ACC_0000060,20000000059,ACCESS,Access Bank,38****1224,Savings,NGN,2020-06-05,Active
ACC_0000061,20000000060,FIDELITY,Fidelity Bank,02****4559,Savings,NGN,2021-05-16,Active
ACC_0000062,20000000061,ZENITH,Zenith Bank,35****3040,Wallet,NGN,2025-01-28,Active
ACC_0000063,20000000062,STANBIC,Stanbic IBTC,56****5255,Savings,NGN,2021-09-01,Active
ACC_0000064,20000000063,ACCESS,Access Bank,90****7575,Savings,NGN,2023-01-01,Active
ACC_0000065,20000000064,UBA,United Bank for Africa,41****7020,Savings,NGN,2025-09-16,Dormant
ACC_0000066,20000000065,UBA,United Bank for Africa,82****3956,Savings,NGN,2025-04-19,Active
ACC_0000067,20000000066,ZENITH,Zenith Bank,69****5568,Savings,NGN,2018-08-15,Active
ACC_0000068,20000000067,POLARIS,Polaris Bank,09****8063,Wallet,NGN,2023-02-19,Active
ACC_0000069,20000000068,POLARIS,Polaris Bank,78****0697,Current,NGN,2017-11-22,Active
ACC_0000070,20000000069,GTB,Guaranty Trust Bank,83****3305,Savings,NGN,2020-11-19,Active
ACC_0000071,20000000070,GTB,Guaranty Trust Bank,96****0938,Current,NGN,2025-01-02,Active
ACC_0000072,20000000071,ZENITH,Zenith Bank,15****4240,Current,NGN,2019-02-08,Active
ACC_0000073,20000000072,ECOBANK,Ecobank,98****9186,Savings,NGN,2018-01-04,Active
ACC_0000074,20000000073,FBN,First Bank of Nigeria,00****4052,Savings,NGN,2018-10-08,Active
ACC_0000075,20000000074,ACCESS,Access Bank,69****2915,Savings,NGN,2023-08-06,Active
ACC_0000076,20000000075,ACCESS,Access Bank,77****1407,Savings,NGN,2022-09-28,Active
ACC_0000077,20000000076,POLARIS,Polaris Bank,25****0591,Savings,NGN,2025-08-16,Active
ACC_0000078,20000000077,ACCESS,Access Bank,05****7222,Savings,NGN,2023-05-10,Active
ACC_0000079,20000000078,ECOBANK,Ecobank,35****7877,Savings,NGN,2018-11-25,Active
ACC_0000080,20000000079,FIDELITY,Fidelity Bank,31****5028,Savings,NGN,2016-09-28,Active
ACC_0000081,20000000080,ACCESS,Access Bank,03****7519,Current,NGN,2021-08-26,Active
ACC_0000082,20000000081,STANBIC,Stanbic IBTC,38****0881,Savings,NGN,2024-03-31,Active
ACC_0000083,20000000082,ECOBANK,Ecobank,08****9143,Savings,NGN,2024-05-23,Active
ACC_0000084,20000000083,ECOBANK,Ecobank,98****3272,Current,NGN,2016-11-09,Active
ACC_0000085,20000000084,ACCESS,Access Bank,76****5025,Savings,NGN,2019-05-29,Active
ACC_0000086,20000000085,ZENITH,Zenith Bank,67****3451,Current,NGN,2021-05-21,Active
ACC_0000087,20000000086,ZENITH,Zenith Bank,32****1137,Savings,NGN,2019-05-18,Active
ACC_0000088,20000000087,ECOBANK,Ecobank,25****6258,Savings,NGN,2022-11-26,Active
ACC_0000089,20000000088,FIDELITY,Fidelity Bank,94****4003,Savings,NGN,2018-06-19,Active
ACC_0000090,20000000089,FIDELITY,Fidelity Bank,70****8377,Savings,NGN,2017-12-15,Dormant
ACC_0000091,20000000090,ACCESS,Access Bank,83****3018,Savings,NGN,2025-10-29,Active
ACC_0000092,20000000091,WEMA,Wema Bank,87****8421,Savings,NGN,2018-10-01,Active
ACC_0000093,20000000092,FBN,First Bank of Nigeria,18****1240,Wallet,NGN,2025-12-04,Active
ACC_0000094,20000000093,FBN,First Bank of Nigeria,62****5270,Savings,NGN,2023-05-07,Active
ACC_0000095,20000000094,ECOBANK,Ecobank,88****7042,Savings,NGN,2021-08-01,Active
ACC_0000096,20000000095,ZENITH,Zenith Bank,59****7140,Savings,NGN,2019-04-03,Dormant
ACC_0000097,20000000096,FBN,First Bank of Nigeria,15****3617,Current,NGN,2025-01-17,Active
ACC_0000098,20000000097,WEMA,Wema Bank,34****7640,Savings,NGN,2025-09-05,Active
ACC_0000099,20000000098,FBN,First Bank of Nigeria,70****2311,Savings,NGN,2025-08-10,Active
ACC_0000100,20000000099,STANBIC,Stanbic IBTC,63****3588,Savings,NGN,2025-05-15,Active
ACC_0000101,20000000100,WEMA,Wema Bank,73****2859,Savings,NGN,2017-08-16,Active
ACC_0000102,20000000101,UBA,United Bank for Africa,91****2338,Savings,NGN,2023-01-19,Active
ACC_0000103,20000000102,POLARIS,Polaris Bank,32****9842,Savings,NGN,2023-10-19,Active
ACC_0000104,20000000103,ACCESS,Access Bank,62****0565,Savings,NGN,2023-04-25,Active
ACC_0000105,20000000104,POLARIS,Polaris Bank,40****1128,Savings,NGN,2017-06-07,Active
ACC_0000106,20000000105,WEMA,Wema Bank,46****8815,Savings,NGN,2025-07-30,Active
ACC_0000107,20000000106,WEMA,Wema Bank,58****0626,Savings,NGN,2023-03-04,Active
ACC_0000108,20000000107,POLARIS,Polaris Bank,74****1543,Savings,NGN,2019-01-10,Active
ACC_0000109,20000000108,ZENITH,Zenith Bank,05****5375,Savings,NGN,2018-05-01,Active
ACC_0000110,20000000109,ACCESS,Access Bank,74****5324,Savings,NGN,2016-04-12,Active
ACC_0000111,20000000110,ACCESS,Access Bank,94****4334,Savings,NGN,2019-11-21,Active
ACC_0000112,20000000111,GTB,Guaranty Trust Bank,95****4351,Savings,NGN,2021-06-10,Active
ACC_0000113,20000000112,POLARIS,Polaris Bank,88****0457,Current,NGN,2017-10-28,Active
ACC_0000114,20000000113,GTB,Guaranty Trust Bank,92****2536,Savings,NGN,2017-01-08,Active
ACC_0000115,20000000114,ZENITH,Zenith Bank,46****4922,Current,NGN,2020-09-26,Active
ACC_0000116,20000000115,ECOBANK,Ecobank,33****3426,Wallet,NGN,2024-10-15,Dormant
ACC_0000117,20000000116,UBA,United Bank for Africa,02****7905,Savings,NGN,2018-10-23,Dormant
ACC_0000118,20000000117,WEMA,Wema Bank,66****0903,Savings,NGN,2018-12-04,Active
ACC_0000119,20000000118,ECOBANK,Ecobank,33****1055,Current,NGN,2025-04-13,Active
ACC_0000120,20000000119,ECOBANK,Ecobank,70****9886,Savings,NGN,2017-08-08,Dormant
ACC_0000121,20000000120,ACCESS,Access Bank,08****2907,Savings,NGN,2024-10-04,Active
ACC_0000122,20000000121,ECOBANK,Ecobank,52****3239,Savings,NGN,2023-01-30,Active
ACC_0000123,20000000122,WEMA,Wema Bank,70****3014,Wallet,NGN,2023-06-07,Active
ACC_0000124,20000000123,ZENITH,Zenith Bank,26****6135,Savings,NGN,2017-11-18,Active
ACC_0000125,20000000124,ECOBANK,Ecobank,34****0321,Savings,NGN,2016-12-19,Active
ACC_0000126,20000000125,UBA,United Bank for Africa,77****1913,Current,NGN,2023-07-31,Active
ACC_0000127,20000000126,FIDELITY,Fidelity Bank,60****3362,Current,NGN,2016-02-07,Active
ACC_0000128,20000000127,FBN,First Bank of Nigeria,78****9497,Savings,NGN,2019-05-17,Active
ACC_0000129,20000000128,ECOBANK,Ecobank,74****1875,Savings,NGN,2025-08-30,Active
ACC_0000130,20000000129,ACCESS,Access Bank,50****8668,Savings,NGN,2019-12-07,Active
ACC_0000131,20000000130,ECOBANK,Ecobank,02****7170,Savings,NGN,2018-11-20,Active
ACC_0000132,20000000131,UBA,United Bank for Africa,46****3443,Savings,NGN,2017-03-12,Active
ACC_0000133,20000000132,POLARIS,Polaris Bank,91****8862,Savings,NGN,2023-05-16,Active
ACC_0000134,20000000133,POLARIS,Polaris Bank,36****9673,Savings,NGN,2020-01-26,Active
ACC_0000135,20000000134,ZENITH,Zenith Bank,84****8219,Savings,NGN,2016-08-01,Active
ACC_0000136,20000000135,WEMA,Wema Bank,99****0168,Savings,NGN,2020-11-03,Active
ACC_0000137,20000000136,ACCESS,Access Bank,85****7441,Savings,NGN,2024-08-12,Active
ACC_0000138,20000000137,ACCESS,Access Bank,90****9912,Savings,NGN,2024-08-27,Active
ACC_0000139,20000000138,ACCESS,Access Bank,82****6973,Savings,NGN,2023-12-14,Active
ACC_0000140,20000000139,GTB,Guaranty Trust Bank,25****4745,Savings,NGN,2023-06-24,Active
ACC_0000141,20000000140,GTB,Guaranty Trust Bank,64****8365,Current,NGN,2023-02-12,Active
ACC_0000142,20000000141,ACCESS,Access Bank,21****3557,Wallet,NGN,2018-08-26,Dormant
ACC_0000143,20000000142,WEMA,Wema Bank,10****3179,Current,NGN,2025-06-06,Active
ACC_0000144,20000000143,FBN,First Bank of Nigeria,76****8567,Current,NGN,2017-02-17,Active
ACC_0000145,20000000144,ECOBANK,Ecobank,59****1477,Current,NGN,2025-01-04,Dormant
ACC_0000146,20000000145,FBN,First Bank of Nigeria,26****2883,Savings,NGN,2023-05-15,Active
ACC_0000147,20000000146,ZENITH,Zenith Bank,06****0276,Current,NGN,2024-10-24,Active
ACC_0000148,20000000147,POLARIS,Polaris Bank,54****3648,Savings,NGN,2019-06-18,Active
ACC_0000149,20000000148,FBN,First Bank of Nigeria,48****5240,Savings,NGN,2018-03-07,Active
ACC_0000150,20000000149,ZENITH,Zenith Bank,02****7855,Savings,NGN,2019-07-17,Active
ACC_0000151,20000000150,ECOBANK,Ecobank,53****3495,Savings,NGN,2018-08-19,Dormant
ACC_0000152,20000000151,POLARIS,Polaris Bank,76****9922,Savings,NGN,2024-11-21,Active
ACC_0000153,20000000152,ACCESS,Access Bank,43****6922,Current,NGN,2025-11-08,Active
ACC_0000154,20000000153,WEMA,Wema Bank,78****3157,Savings,NGN,2025-09-29,Active
ACC_0000155,20000000154,ECOBANK,Ecobank,50****0044,Savings,NGN,2018-11-09,Active
ACC_0000156,20000000155,FBN,First Bank of Nigeria,29****1380,Savings,NGN,2018-12-12,Active
ACC_0000157,20000000156,WEMA,Wema Bank,99****8990,Current,NGN,2021-11-26,Active
ACC_0000158,20000000157,GTB,Guaranty Trust Bank,22****1854,Savings,NGN,2019-04-15,Active
ACC_0000159,20000000158,WEMA,Wema Bank,91****1141,Savings,NGN,2018-08-15,Dormant
ACC_0000160,20000000159,UBA,United Bank for Africa,79****4424,Savings,NGN,2020-08-07,Active
ACC_0000161,20000000160,FBN,First Bank of Nigeria,47****1792,Current,NGN,2019-10-25,Active
ACC_0000162,20000000161,POLARIS,Polaris Bank,30****9192,Savings,NGN,2016-04-21,Active
ACC_0000163,20000000162,ECOBANK,Ecobank,74****9334,Savings,NGN,2025-12-02,Active
ACC_0000164,20000000163,ECOBANK,Ecobank,35****6464,Savings,NGN,2017-10-30,Active
ACC_0000165,20000000164,GTB,Guaranty Trust Bank,20****7074,Savings,NGN,2025-08-15,Active
ACC_0000166,20000000165,POLARIS,Polaris Bank,79****3773,Savings,NGN,2021-10-03,Active
ACC_0000167,20000000166,STANBIC,Stanbic IBTC,55****8534,Savings,NGN,2025-07-31,Active
ACC_0000168,20000000167,ACCESS,Access Bank,67****9299,Savings,NGN,2022-03-08,Active
ACC_0000169,20000000168,GTB,Guaranty Trust Bank,87****1452,Savings,NGN,2018-03-27,Active
ACC_0000170,20000000169,FIDELITY,Fidelity Bank,33****8969,Savings,NGN,2025-09-20,Active
ACC_0000171,20000000170,ACCESS,Access Bank,21****5599,Savings,NGN,2023-08-18,Active
ACC_0000172,20000000171,ECOBANK,Ecobank,11****2136,Savings,NGN,2024-12-28,Active
ACC_0000173,20000000172,UBA,United Bank for Africa,03****2315,Wallet,NGN,2018-09-20,Active
ACC_0000174,20000000173,ECOBANK,Ecobank,05****4562,Wallet,NGN,2022-12-04,Active
ACC_0000175,20000000174,WEMA,Wema Bank,07****4018,Current,NGN,2019-10-26,Active
ACC_0000176,20000000175,STANBIC,Stanbic IBTC,34****3786,Savings,NGN,2017-12-11,Dormant
ACC_0000177,20000000176,WEMA,Wema Bank,49****0818,Savings,NGN,2016-07-08,Active
ACC_0000178,20000000177,FIDELITY,Fidelity Bank,06****8717,Current,NGN,2025-05-28,Active
ACC_0000179,20000000178,GTB,Guaranty Trust Bank,23****3238,Wallet,NGN,2020-06-23,Active
ACC_0000180,20000000179,UBA,United Bank for Africa,94****9948,Savings,NGN,2016-08-27,Active
ACC_0000181,20000000180,ZENITH,Zenith Bank,28****5244,Savings,NGN,2017-02-01,Active
ACC_0000182,20000000181,GTB,Guaranty Trust Bank,48****4389,Savings,NGN,2025-02-24,Active
ACC_0000183,20000000182,POLARIS,Polaris Bank,63****1436,Current,NGN,2023-08-19,Active
ACC_0000184,20000000183,ACCESS,Access Bank,01****0322,Wallet,NGN,2021-08-04,Dormant
ACC_0000185,20000000184,GTB,Guaranty Trust Bank,03****3708,Savings,NGN,2023-08-10,Active
ACC_0000186,20000000185,POLARIS,Polaris Bank,10****2984,Current,NGN,2025-05-13,Active
ACC_0000187,20000000186,ACCESS,Access Bank,11****2455,Savings,NGN,2016-11-26,Active
ACC_0000188,20000000187,ZENITH,Zenith Bank,07****6167,Savings,NGN,2025-06-04,Active
ACC_0000189,20000000188,GTB,Guaranty Trust Bank,63****7100,Savings,NGN,2021-05-10,Active
ACC_0000190,20000000189,FBN,First Bank of Nigeria,86****5647,Savings,NGN,2023-05-11,Active
ACC_0000191,20000000190,ZENITH,Zenith Bank,22****7308,Savings,NGN,2020-08-28,Active
ACC_0000192,20000000191,FIDELITY,Fidelity Bank,59****5991,Savings,NGN,2023-10-06,Active
ACC_0000193,20000000192,STANBIC,Stanbic IBTC,58****2754,Savings,NGN,2016-05-06,Active
ACC_0000194,20000000193,ACCESS,Access Bank,61****5107,Savings,NGN,2019-04-26,Active
ACC_0000195,20000000194,FBN,First Bank of Nigeria,56****5259,Savings,NGN,2016-01-25,Dormant
ACC_0000196,20000000195,ZENITH,Zenith Bank,52****8795,Savings,NGN,2023-11-18,Active
ACC_0000197,20000000196,ACCESS,Access Bank,47****9648,Savings,NGN,2022-05-26,Active
ACC_0000198,20000000197,ACCESS,Access Bank,47****8784,Current,NGN,2021-05-18,Active
ACC_0000199,20000000198,ACCESS,Access Bank,84****1518,Savings,NGN,2025-02-14,Dormant
ACC_0000200,20000000199,ECOBANK,Ecobank,46****5676,Savings,NGN,2024-10-17,Active
ACC_0000201,20000000200,ECOBANK,Ecobank,59****3135,Savings,NGN,2019-03-11,Active
ACC_0000202,20000000201,FIDELITY,Fidelity Bank,90****4447,Savings,NGN,2022-10-21,Active
ACC_0000203,20000000202,WEMA,Wema Bank,14****5570,Savings,NGN,2024-02-26,Active
ACC_0000204,20000000203,ACCESS,Access Bank,58****0374,Savings,NGN,2022-03-11,Active
ACC_0000205,20000000204,GTB,Guaranty Trust Bank,66****4917,Savings,NGN,2023-12-12,Active
ACC_0000206,20000000205,ACCESS,Access Bank,43****8962,Current,NGN,2022-02-20,Active
ACC_0000207,20000000206,STANBIC,Stanbic IBTC,34****1825,Savings,NGN,2019-05-25,Active
ACC_0000208,20000000207,STANBIC,Stanbic IBTC,24****2869,Current,NGN,2017-10-10,Active
ACC_0000209,20000000208,FIDELITY,Fidelity Bank,19****8578,Wallet,NGN,2024-02-10,Dormant
ACC_0000210,20000000209,ZENITH,Zenith Bank,46****5697,Savings,NGN,2016-04-14,Active
ACC_0000211,20000000210,GTB,Guaranty Trust Bank,89****8022,Savings,NGN,2018-06-28,Active
ACC_0000212,20000000211,FBN,First Bank of Nigeria,46****4943,Current,NGN,2017-10-25,Active
ACC_0000213,20000000212,FIDELITY,Fidelity Bank,11****6687,Savings,NGN,2018-10-21,Active
ACC_0000214,20000000213,FIDELITY,Fidelity Bank,21****1851,Savings,NGN,2024-08-04,Active
ACC_0000215,20000000214,ZENITH,Zenith Bank,18****7244,Savings,NGN,2023-06-30,Active
ACC_0000216,20000000215,ACCESS,Access Bank,94****5205,Savings,NGN,2020-04-09,Active
ACC_0000217,20000000216,ZENITH,Zenith Bank,55****7426,Savings,NGN,2017-07-10,Active
ACC_0000218,20000000217,FIDELITY,Fidelity Bank,78****7150,Savings,NGN,2016-01-29,Active
ACC_0000219,20000000218,POLARIS,Polaris Bank,71****5811,Current,NGN,2019-02-09,Active
ACC_0000220,20000000219,FIDELITY,Fidelity Bank,09****8028,Savings,NGN,2023-03-20,Dormant
ACC_0000221,20000000220,FBN,First Bank of Nigeria,74****8716,Savings,NGN,2023-02-18,Active
ACC_0000222,20000000221,WEMA,Wema Bank,20****0981,Savings,NGN,2016-10-03,Active
ACC_0000223,20000000222,POLARIS,Polaris Bank,20****8599,Current,NGN,2016-11-15,Active
ACC_0000224,20000000223,FBN,First Bank of Nigeria,63****0705,Savings,NGN,2018-10-21,Active
ACC_0000225,20000000224,WEMA,Wema Bank,62****5055,Wallet,NGN,2020-06-17,Dormant
ACC_0000226,20000000225,ZENITH,Zenith Bank,07****7752,Savings,NGN,2020-05-06,Active
ACC_0000227,20000000226,WEMA,Wema Bank,30****0267,Savings,NGN,2020-12-17,Active
ACC_0000228,20000000227,WEMA,Wema Bank,79****9471,Current,NGN,2018-05-16,Dormant
ACC_0000229,20000000228,WEMA,Wema Bank,55****8345,Wallet,NGN,2019-07-12,Active
ACC_0000230,20000000229,WEMA,Wema Bank,75****8305,Current,NGN,2016-01-31,Active
ACC_0000231,20000000230,POLARIS,Polaris Bank,65****6105,Wallet,NGN,2021-03-18,Active
ACC_0000232,20000000231,GTB,Guaranty Trust Bank,98****5974,Savings,NGN,2020-02-19,Active
ACC_0000233,20000000232,ACCESS,Access Bank,52****5298,Current,NGN,2023-06-17,Active
ACC_0000234,20000000233,ECOBANK,Ecobank,94****7686,Current,NGN,2018-04-06,Active
ACC_0000235,20000000234,GTB,Guaranty Trust Bank,19****4848,Current,NGN,2025-06-22,Active
ACC_0000236,20000000235,FIDELITY,Fidelity Bank,69****7446,Current,NGN,2025-02-18,Active
ACC_0000237,20000000236,WEMA,Wema Bank,44****8007,Savings,NGN,2023-12-17,Active
ACC_0000238,20000000237,FBN,First Bank of Nigeria,34****0708,Savings,NGN,2018-02-09,Active
ACC_0000239,20000000238,FBN,First Bank of Nigeria,70****5955,Savings,NGN,2024-01-06,Active
ACC_0000240,20000000239,POLARIS,Polaris Bank,91****3911,Savings,NGN,2019-08-08,Dormant
ACC_0000241,20000000240,WEMA,Wema Bank,67****1852,Current,NGN,2021-12-29,Active
ACC_0000242,20000000241,FIDELITY,Fidelity Bank,24****4120,Savings,NGN,2019-02-10,Active
ACC_0000243,20000000242,ACCESS,Access Bank,94****7621,Savings,NGN,2018-11-27,Active
ACC_0000244,20000000243,ACCESS,Access Bank,15****6273,Savings,NGN,2023-07-17,Active
ACC_0000245,20000000244,ACCESS,Access Bank,14****5464,Savings,NGN,2018-04-20,Active
ACC_0000246,20000000245,ECOBANK,Ecobank,45****2360,Savings,NGN,2021-09-27,Active
ACC_0000247,20000000246,ZENITH,Zenith Bank,79****9502,Savings,NGN,2022-06-17,Active
ACC_0000248,20000000247,ZENITH,Zenith Bank,97****1044,Savings,NGN,2020-01-07,Active
ACC_0000249,20000000248,FBN,First Bank of Nigeria,79****9029,Savings,NGN,2022-01-19,Active
ACC_0000250,20000000249,STANBIC,Stanbic IBTC,09****4033,Savings,NGN,2019-04-13,Active
ACC_0000251,20000000250,STANBIC,Stanbic IBTC,95****5681,Savings,NGN,2020-09-01,Active
ACC_0000252,20000000251,WEMA,Wema Bank,37****8099,Savings,NGN,2022-05-04,Active
ACC_0000253,20000000252,ZENITH,Zenith Bank,21****3611,Savings,NGN,2018-05-17,Active
ACC_0000254,20000000253,ACCESS,Access Bank,17****5016,Savings,NGN,2018-12-30,Active
ACC_0000255,20000000254,ZENITH,Zenith Bank,64****2947,Savings,NGN,2018-01-30,Active
ACC_0000256,20000000255,ECOBANK,Ecobank,01****5788,Current,NGN,2016-11-10,Active
ACC_0000257,20000000256,ACCESS,Access Bank,06****1414,Current,NGN,2019-06-29,Active
ACC_0000258,20000000257,GTB,Guaranty Trust Bank,97****0124,Savings,NGN,2021-07-14,Active
ACC_0000259,20000000258,GTB,Guaranty Trust Bank,21****0094,Wallet,NGN,2020-05-28,Active
ACC_0000260,20000000259,ECOBANK,Ecobank,94****8295,Savings,NGN,2018-01-24,Active
ACC_0000261,20000000260,UBA,United Bank for Africa,30****0999,Savings,NGN,2017-09-20,Active
ACC_0000262,20000000261,FIDELITY,Fidelity Bank,78****0344,Savings,NGN,2024-05-31,Active
ACC_0000263,20000000262,GTB,Guaranty Trust Bank,96****3555,Current,NGN,2018-11-01,Active
ACC_0000264,20000000263,UBA,United Bank for Africa,02****4612,Savings,NGN,2021-09-16,Active
ACC_0000265,20000000264,GTB,Guaranty Trust Bank,06****2478,Current,NGN,2017-11-25,Active
ACC_0000266,20000000265,STANBIC,Stanbic IBTC,79****9994,Savings,NGN,2016-05-30,Active
ACC_0000267,20000000266,UBA,United Bank for Africa,96****7207,Savings,NGN,2020-09-13,Active
ACC_0000268,20000000267,WEMA,Wema Bank,46****9287,Wallet,NGN,2019-09-04,Dormant
ACC_0000269,20000000268,ZENITH,Zenith Bank,01****9482,Current,NGN,2025-07-11,Active
ACC_0000270,20000000269,ZENITH,Zenith Bank,32****9193,Savings,NGN,2018-12-19,Active
ACC_0000271,20000000270,FBN,First Bank of Nigeria,07****8303,Savings,NGN,2021-02-19,Active
ACC_0000272,20000000271,FBN,First Bank of Nigeria,05****9066,Savings,NGN,2020-09-07,Active
ACC_0000273,20000000272,STANBIC,Stanbic IBTC,98****0442,Current,NGN,2023-07-08,Dormant
ACC_0000274,20000000273,ACCESS,Access Bank,82****2090,Wallet,NGN,2022-04-16,Active
ACC_0000275,20000000274,FIDELITY,Fidelity Bank,99****7746,Current,NGN,2017-05-06,Active
ACC_0000276,20000000275,WEMA,Wema Bank,55****1615,Savings,NGN,2018-03-18,Active
ACC_0000277,20000000276,FBN,First Bank of Nigeria,24****8022,Savings,NGN,2021-10-25,Dormant
ACC_0000278,20000000277,WEMA,Wema Bank,06****0194,Savings,NGN,2023-03-09,Active
