bvn,first_name,last_name,gender,age,date_of_birth,marital_status,nationality,employment_status,occupation,employment_sector,education_level,years_of_experience
20000000036,Kunle,Sadiq,Male,67,1959-01-01,Married,Nigerian,Retired,Retired,,Bachelors,
20000000037,Amaka,Akinwale,Female,40,1986-01-01,Divorced,Nigerian,Student,Student,,Secondary,
20000000038,Sade,Lawal,Female,44,1982-01-01,Divorced,Nigerian,Self-Employed,Trader,NGO,Diploma,22.0
20000000039,Chinedu,Ogunleye,Male,53,1973-01-01,Single,Nigerian,Employed,Accountant,NGO,Bachelors,26.0
20000000040,Zainab,Sadiq,Female,23,2003-01-01,Single,Nigerian,Retired,Retired,,Secondary,
20000000041,Olu,Ogunleye,Male,43,1983-01-01,Married,Nigerian,Self-Employed,Farmer,Informal,Diploma,13.0
20000000042,Ade,Lawal,Male,24,2002-01-01,Single,Nigerian,Self-Employed,Consultant,Informal,PhD,4.0
20000000043,Zainab,Abdullahi,Female,33,1993-01-01,Divorced,Nigerian,Employed,Engineer,NGO,Masters,10.0
20000000044,Fatima,Ogunleye,Female,28,1998-01-01,Divorced,Nigerian,Employed,Engineer,NGO,Diploma,4.0
20000000045,Ibrahim,Sadiq,Male,28,1998-01-01,Single,Nigerian,Self-Employed,Trader,Informal,Primary,5.0
20000000046,Aisha,Ogunleye,Female,30,1996-01-01,Married,Nigerian,Retired,Retired,,Diploma,
20000000047,Kunle,Lawal,Male,49,1977-01-01,Divorced,Nigerian,Unemployed,None,,Bachelors,
20000000048,Kemi,Sadiq,Female,57,1969-01-01,Divorced,Nigerian,Employed,Engineer,Public,Bachelors,8.0
20000000049,Fatima,Sadiq,Female,55,1971-01-01,Single,Nigerian,Employed,Accountant,NGO,Secondary,5.0
20000000050,Kemi,Ogunleye,Female,56,1970-01-01,Divorced,Nigerian,Employed,Engineer,Informal,Masters,28.0
20000000051,Funke,Mohammed,Female,28,1998-01-01,Married,Nigerian,Self-Employed,Artisan,NGO,Masters,2.0
20000000052,Zainab,Lawal,Female,56,1970-01-01,Widowed,Nigerian,Self-Employed,Artisan,Private,Diploma,5.0
20000000053,Funke,Abdullahi,Female,74,1952-01-01,Divorced,Nigerian,Retired,Retired,,PhD,
20000000054,Amaka,Lawal,Female,48,1978-01-01,Married,Nigerian,Employed,Civil Servant,NGO,Diploma,4.0
20000000055,Ngozi,Balogun,Female,18,2008-01-01,Divorced,Nigerian,Student,Student,,Primary,
20000000056,Funke,Adeyemi,Female,35,1991-01-01,Widowed,Nigerian,Self-Employed,Farmer,Private,Diploma,9.0
20000000057,Bisi,Lawal,Female,23,2003-01-01,Single,Nigerian,Retired,Retired,,Masters,
20000000058,Halima,Lawal,Female,61,1965-01-01,Married,Nigerian,Retired,Retired,,Primary,
20000000059,Amaka,Lawal,Female,27,1999-01-01,Divorced,Nigerian,Self-Employed,Farmer,Private,Secondary,3.0
20000000060,Amaka,Okoye,Female,53,1973-01-01,Widowed,Nigerian,Employed,Teacher,Public,Masters,21.0
20000000061,Musa,Lawal,Male,32,1994-01-01,Divorced,Nigerian,Self-Employed,Artisan,Public,Bachelors,1.0
20000000062,Funke,Okafor,Female,71,1955-01-01,Divorced,Nigerian,Retired,Retired,,Primary,
20000000063,Musa,Adeyemi,Male,72,1954-01-01,Divorced,Nigerian,Retired,Retired,,Masters,
20000000064,Tunde,Sadiq,Male,45,1981-01-01,Divorced,Nigerian,Employed,Teacher,Public,Secondary,26.0
20000000065,Sadiq,Okoye,Male,20,2006-01-01,Single,Nigerian,Student,Student,,Primary,
20000000066,Ngozi,Sadiq,Female,41,1985-01-01,Single,Nigerian,Student,Student,,PhD,
20000000067,Tunde,Adeyemi,Male,33,1993-01-01,Single,Nigerian,Student,Student,,Secondary,
20000000068,Kunle,Sadiq,Male,49,1977-01-01,Married,Nigerian,Employed,Engineer,Informal,Primary,12.0
20000000069,Aisha,Abdullahi,Female,45,1981-01-01,Widowed,Nigerian,Student,Student,,Bachelors,
20000000070,Kemi,Lawal,Female,22,2004-01-01,Widowed,Nigerian,Employed,Accountant,Private,Bachelors,2.0
20000000071,Aisha,Adeyemi,Female,65,1961-01-01,Divorced,Nigerian,Retired,Retired,,Masters,
20000000072,Funke,Mohammed,Female,48,1978-01-01,Divorced,Nigerian,Student,Student,,Bachelors,
20000000073,Emeka,Okoye,Male,71,1955-01-01,Married,Nigerian,Retired,Retired,,Diploma,
20000000074,Ade,Balogun,Male,51,1975-01-01,Widowed,Nigerian,Self-Employed,Consultant,NGO,Diploma,5.0
20000000075,Chinedu,Okafor,Male,64,1962-01-01,Widowed,Nigerian,Employed,Teacher,Public,Diploma,34.0
20000000076,Sade,Abdullahi,Female,57,1969-01-01,Married,Nigerian,Employed,Engineer,Public,Primary,29.0
20000000077,Tunde,Okoye,Male,63,1963-01-01,Widowed,Nigerian,Student,Student,,PhD,
20000000078,Yusuf,Abdullahi,Male,68,1958-01-01,Single,Nigerian,Retired,Retired,,PhD,
20000000079,Ade,Mohammed,Male,67,1959-01-01,Widowed,Nigerian,Retired,Retired,,Masters,
20000000080,Kunle,Okoye,Male,38,1988-01-01,Married,Nigerian,Employed,Teacher,NGO,Masters,15.0
20000000081,Funke,Adeyemi,Female,47,1979-01-01,Widowed,Nigerian,Employed,Accountant,NGO,Primary,14.0
20000000082,Sadiq,Adeyemi,Male,45,1981-01-01,Divorced,Nigerian,Student,Student,,Masters,
20000000083,Kemi,Abdullahi,Female,37,1989-01-01,Single,Nigerian,Self-Employed,Trader,NGO,PhD,3.0
20000000084,Yusuf,Akinwale,Male,31,1995-01-01,Single,Nigerian,Employed,Teacher,Informal,Masters,6.0
20000000085,Amaka,Okoye,Female,51,1975-01-01,Single,Nigerian,Employed,Accountant,Public,Masters,1.0
20000000086,Olu,Okafor,Male,47,1979-01-01,Single,Nigerian,Unemployed,None,,Bachelors,
20000000087,Sade,Akinwale,Female,35,1991-01-01,Widowed,Nigerian,Student,Student,,Bachelors,
20000000088,Fatima,Abdullahi,Female,64,1962-01-01,Widowed,Nigerian,Employed,Engineer,Private,Masters,2.0
20000000089,Kunle,Mohammed,Male,63,1963-01-01,Divorced,Nigerian,Self-Employed,Farmer,Public,Masters,31.0
20000000090,Musa,Akinwale,Male,32,1994-01-01,Married,Nigerian,Employed,Teacher,Public,Primary,7.0
20000000091,Fatima,Adeyemi,Female,61,1965-01-01,Divorced,Nigerian,Student,Student,,Primary,
20000000092,Ngozi,Okafor,Female,60,1966-01-01,Widowed,Nigerian,Unemployed,None,,PhD,
20000000093,Tunde,Akinwale,Male,61,1965-01-01,Married,Nigerian,Employed,Civil Servant,NGO,PhD,8.0
20000000094,Sade,Lawal,Female,58,1968-01-01,Married,Nigerian,Unemployed,None,,Secondary,
20000000095,Musa,Adeyemi,Male,51,1975-01-01,Single,Nigerian,Employed,Teacher,NGO,Secondary,15.0
20000000096,Halima,Mohammed,Female,36,1990-01-01,Single,Nigerian,Self-Employed,Artisan,Informal,Primary,10.0
20000000097,Ngozi,Abdullahi,Female,18,2008-01-01,Divorced,Nigerian,Student,Student,,Primary,
20000000098,Musa,Balogun,Male,33,1993-01-01,Divorced,Nigerian,Self-Employed,Trader,NGO,Secondary,12.0
20000000099,Aisha,Okoye,Female,50,1976-01-01,Widowed,Nigerian,Self-Employed,Consultant,NGO,Bachelors,7.0
20000000100,Musa,Abdullahi,Male,61,1965-01-01,Married,Nigerian,Student,Student,,Masters,
20000000101,Olu,Balogun,Male,72,1954-01-01,Married,Nigerian,Retired,Retired,,Primary,
20000000102,Olu,Balogun,Male,67,1959-01-01,Divorced,Nigerian,Retired,Retired,,Masters,
20000000103,Halima,Adeyemi,Female,62,1964-01-01,Married,Nigerian,Self-Employed,Trader,Private,Masters,3.0
20000000104,Fatima,Balogun,Female,21,2005-01-01,Married,Nigerian,Student,Student,,Primary,
20000000105,Amaka,Abdullahi,Female,38,1988-01-01,Married,Nigerian,Self-Employed,Consultant,NGO,Secondary,8.0
20000000106,Yusuf,Abdullahi,Male,58,1968-01-01,Married,Nigerian,Employed,Teacher,NGO,Secondary,29.0
20000000107,Emeka,Balogun,Male,53,1973-01-01,Divorced,Nigerian,Self-Employed,Consultant,NGO,Diploma,5.0
20000000108,Sade,Ogunleye,Female,66,1960-01-01,Widowed,Nigerian,Retired,Retired,,Diploma,
20000000109,Chinedu,Lawal,Male,46,1980-01-01,Single,Nigerian,Employed,Accountant,Informal,Bachelors,26.0
20000000110,Ibrahim,Akinwale,Male,21,2005-01-01,Divorced,Nigerian,Student,Student,,Secondary,
20000000111,Fatima,Mohammed,Female,64,1962-01-01,Married,Nigerian,Employed,Civil Servant,Private,Bachelors,14.0
20000000112,Chinedu,Lawal,Male,23,2003-01-01,Married,Nigerian,Self-Employed,Trader,Public,Primary,1.0
20000000113,Emeka,Lawal,Male,59,1967-01-01,Married,Nigerian,Employed,Teacher,Informal,Secondary,16.0
20000000114,Tunde,Balogun,Male,41,1985-01-01,Married,Nigerian,Retired,Retired,,Secondary,
20000000115,Aisha,Lawal,Female,19,2007-01-01,Married,Nigerian,Student,Student,,Bachelors,
20000000116,Kunle,Sadiq,Male,49,1977-01-01,Single,Nigerian,Unemployed,None,,PhD,
20000000117,Ade,Lawal,Male,26,2000-01-01,Married,Nigerian,Self-Employed,Trader,Informal,Primary,1.0
20000000118,Tunde,Mohammed,Male,57,1969-01-01,Single,Nigerian,Self-Employed,Farmer,Informal,Masters,29.0
20000000119,Bisi,Ogunleye,Female,24,2002-01-01,Divorced,Nigerian,Employed,Accountant,Private,Bachelors,6.0
20000000120,Kunle,Adeyemi,Male,44,1982-01-01,Widowed,Nigerian,Student,Student,,Masters,
20000000121,Tunde,Mohammed,Male,26,2000-01-01,Widowed,Nigerian,Student,Student,,PhD,
20000000122,Ade,Lawal,Male,41,1985-01-01,Widowed,Nigerian,Employed,Analyst,Informal,Diploma,10.0
20000000123,Ade,Sadiq,Male,67,1959-01-01,Widowed,Nigerian,Retired,Retired,,Secondary,
20000000124,Ibrahim,Okoye,Male,19,2007-01-01,Single,Nigerian,Student,Student,,Diploma,
20000000125,Emeka,Lawal,Male,29,1997-01-01,Married,Nigerian,Retired,Retired,,Bachelors,
20000000126,Ngozi,Lawal,Female,72,1954-01-01,Married,Nigerian,Retired,Retired,,PhD,
20000000127,Halima,Ogunleye,Female,36,1990-01-01,Single,Nigerian,Self-Employed,Farmer,Informal,PhD,3.0
20000000128,Bisi,Adeyemi,Female,45,1981-01-01,Widowed,Nigerian,Self-Employed,Trader,Public,Secondary,7.0
20000000129,Kemi,Lawal,Female,32,1994-01-01,Single,Nigerian,Unemployed,None,,Bachelors,
20000000130,Zainab,Ogunleye,Female,39,1987-01-01,Widowed,Nigerian,Employed,Teacher,Public,Masters,9.0
20000000131,Halima,Sadiq,Female,34,1992-01-01,Married,Nigerian,Self-Employed,Artisan,NGO,Masters,12.0
20000000132,Musa,Akinwale,Male,52,1974-01-01,Divorced,Nigerian,Retired,Retired,,Secondary,
20000000133,Aisha,Abdullahi,Female,42,1984-01-01,Divorced,Nigerian,Self-Employed,Trader,Private,PhD,20.0
20000000134,Ngozi,Abdullahi,Female,67,1959-01-01,Widowed,Nigerian,Retired,Retired,,Primary,
20000000135,Ade,Okoye,Male,38,1988-01-01,Widowed,Nigerian,Student,Student,,Secondary,
20000000136,Kunle,Okoye,Male,31,1995-01-01,Widowed,Nigerian,Employed,Analyst,Informal,Bachelors,9.0
20000000137,Halima,Okafor,Female,56,1970-01-01,Widowed,Nigerian,Unemployed,None,,Secondary,
20000000138,Ngozi,Mohammed,Female,74,1952-01-01,Widowed,Nigerian,Retired,Retired,,Bachelors,
20000000139,Musa,Balogun,Male,46,1980-01-01,Divorced,Nigerian,Unemployed,None,,Primary,
20000000140,Yusuf,Mohammed,Male,51,1975-01-01,Widowed,Nigerian,Unemployed,None,,Bachelors,
20000000141,Tunde,Lawal,Male,31,1995-01-01,Married,Nigerian,Self-Employed,Consultant,Public,Bachelors,4.0
20000000142,Yusuf,Balogun,Male,59,1967-01-01,Divorced,Nigerian,Employed,Engineer,Public,Bachelors,27.0
20000000143,Musa,Ogunleye,Male,44,1982-01-01,Married,Nigerian,Student,Student,,Diploma,
20000000144,Sade,Lawal,Female,27,1999-01-01,Widowed,Nigerian,Employed,Civil Servant,Informal,PhD,3.0
20000000145,Zainab,Okafor,Female,63,1963-01-01,Married,Nigerian,Employed,Civil Servant,Private,Masters,45.0
20000000146,Bisi,Lawal,Female,67,1959-01-01,Single,Nigerian,Retired,Retired,,Bachelors,
20000000147,Emeka,Mohammed,Male,70,1956-01-01,Married,Nigerian,Retired,Retired,,Diploma,
20000000148,Olu,Okafor,Male,70,1956-01-01,Widowed,Nigerian,Retired,Retired,,Masters,
20000000149,Amaka,Ogunleye,Female,62,1964-01-01,Widowed,Nigerian,Employed,Analyst,Private,Primary,35.0
20000000150,Aisha,Lawal,Female,64,1962-01-01,Widowed,Nigerian,Employed,Analyst,Public,Bachelors,21.0
20000000151,Sade,Abdullahi,Female,37,1989-01-01,Widowed,Nigerian,Employed,Teacher,NGO,Bachelors,10.0
20000000152,Olu,Okafor,Male,44,1982-01-01,Divorced,Nigerian,Retired,Retired,,Primary,
20000000153,Yusuf,Adeyemi,Male,62,1964-01-01,Divorced,Nigerian,Unemployed,None,,Secondary,
20000000154,Yusuf,Okafor,Male,67,1959-01-01,Divorced,Nigerian,Retired,Retired,,Bachelors,
20000000155,Fatima,Okoye,Female,19,2007-01-01,Single,Nigerian,Student,Student,,Secondary,
20000000156,Fatima,Okoye,Female,24,2002-01-01,Single,Nigerian,Unemployed,None,,Masters,
20000000157,Funke,Okoye,Female,73,1953-01-01,Single,Nigerian,Retired,Retired,,Bachelors,
20000000158,Ade,Ogunleye,Male,64,1962-01-01,Widowed,Nigerian,Employed,Civil Servant,Public,Masters,28.0
20000000159,Musa,Sadiq,Male,29,1997-01-01,Widowed,Nigerian,Employed,Accountant,Informal,Bachelors,10.0
20000000160,Tunde,Okoye,Male,58,1968-01-01,Divorced,Nigerian,Self-Employed,Farmer,Public,Diploma,22.0
20000000161,Emeka,Balogun,Male,40,1986-01-01,Married,Nigerian,Employed,Accountant,Informal,PhD,3.0
20000000162,Olu,Okafor,Male,37,1989-01-01,Single,Nigerian,Student,Student,,Masters,
20000000163,Yusuf,Sadiq,Male,38,1988-01-01,Married,Nigerian,Employed,Analyst,Public,Primary,12.0
20000000164,Sadiq,Mohammed,Male,19,2007-01-01,Married,Nigerian,Student,Student,,Masters,
20000000165,Amaka,Ogunleye,Female,65,1961-01-01,Widowed,Nigerian,Employed,Analyst,NGO,Primary,39.0
20000000166,Yusuf,Akinwale,Male,39,1987-01-01,Single,Nigerian,Self-Employed,Farmer,Public,Masters,7.0
20000000167,Zainab,Balogun,Female,23,2003-01-01,Married,Nigerian,Student,Student,,Bachelors,
20000000168,Sadiq,Lawal,Male,54,1972-01-01,Married,Nigerian,Employed,Analyst,Private,Masters,14.0
20000000169,Yusuf,Okoye,Male,31,1995-01-01,Widowed,Nigerian,Employed,Analyst,Informal,Primary,2.0
20000000170,Fatima,Mohammed,Female,30,1996-01-01,Married,Nigerian,Employed,Analyst,Public,Bachelors,4.0
20000000171,Fatima,Ogunleye,Female,26,2000-01-01,Widowed,Nigerian,Self-Employed,Trader,Private,Diploma,7.0
20000000172,Funke,Okoye,Female,57,1969-01-01,Single,Nigerian,Retired,Retired,,Diploma,
20000000173,Sade,Abdullahi,Female,25,2001-01-01,Widowed,Nigerian,Employed,Accountant,NGO,Secondary,5.0
20000000174,Kunle,Okafor,Male,59,1967-01-01,Widowed,Nigerian,Employed,Accountant,Public,PhD,37.0
20000000175,Kemi,Akinwale,Female,39,1987-01-01,Married,Nigerian,Employed,Accountant,Informal,Secondary,16.0
20000000176,Tunde,Lawal,Male,49,1977-01-01,Divorced,Nigerian,Employed,Analyst,Private,Diploma,16.0
20000000177,Tunde,Abdullahi,Male,20,2006-01-01,Married,Nigerian,Student,Student,,Secondary,
20000000178,Amaka,Abdullahi,Female,18,2008-01-01,Single,Nigerian,Student,Student,,Primary,
20000000179,Yusuf,Abdullahi,Male,36,1990-01-01,Married,Nigerian,Retired,Retired,,Secondary,
20000000180,Amaka,Okoye,Female,67,1959-01-01,Single,Nigerian,Retired,Retired,,Diploma,
20000000181,Ibrahim,Lawal,Male,20,2006-01-01,Divorced,Nigerian,Student,Student,,Diploma,
20000000182,Fatima,Okoye,Female,37,1989-01-01,Married,Nigerian,Employed,Accountant,NGO,Diploma,17.0
20000000183,Kunle,Ogunleye,Male,26,2000-01-01,Married,Nigerian,Self-Employed,Consultant,Public,Masters,5.0
20000000184,Funke,Balogun,Female,33,1993-01-01,Divorced,Nigerian,Self-Employed,Farmer,Informal,Masters,3.0
20000000185,Fatima,Akinwale,Female,72,1954-01-01,Single,Nigerian,Retired,Retired,,Bachelors,
20000000186,Ibrahim,Akinwale,Male,22,2004-01-01,Single,Nigerian,Employed,Accountant,NGO,PhD,1.0
20000000187,Funke,Okoye,Female,66,1960-01-01,Divorced,Nigerian,Retired,Retired,,Diploma,
20000000188,Musa,Mohammed,Male,25,2001-01-01,Widowed,Nigerian,Student,Student,,Primary,
20000000189,Ade,Mohammed,Male,55,1971-01-01,Married,Nigerian,Retired,Retired,,Diploma,
20000000190,Sadiq,Akinwale,Male,72,1954-01-01,Widowed,Nigerian,Retired,Retired,,Secondary,
20000000191,Aisha,Sadiq,Female,22,2004-01-01,Single,Nigerian,Self-Employed,Consultant,Informal,Secondary,4.0
20000000192,Emeka,Akinwale,Male,69,1957-01-01,Married,Nigerian,Retired,Retired,,Diploma,
20000000193,Ibrahim,Balogun,Male,50,1976-01-01,Widowed,Nigerian,Employed,Civil Servant,Private,Primary,30.0
20000000194,Bisi,Okafor,Female,55,1971-01-01,Widowed,Nigerian,Self-Employed,Farmer,Public,Diploma,12.0
20000000195,Zainab,Ogunleye,Female,57,1969-01-01,Married,Nigerian,Self-Employed,Trader,Informal,Primary,4.0
20000000196,Sadiq,Mohammed,Male,46,1980-01-01,Married,Nigerian,Employed,Civil Servant,Informal,Primary,18.0
20000000197,Chinedu,Balogun,Male,31,1995-01-01,Widowed,Nigerian,Self-Employed,Consultant,Public,Diploma,7.0
20000000198,Halima,Okoye,Female,55,1971-01-01,Widowed,Nigerian,Student,Student,,Primary,
20000000199,Ngozi,Okoye,Female,64,1962-01-01,Divorced,Nigerian,Unemployed,None,,Secondary,
20000000200,Chinedu,Okafor,Male,68,1958-01-01,Widowed,Nigerian,Retired,Retired,,Primary,
20000000201,Chinedu,Okoye,Male,55,1971-01-01,Married,Nigerian,Retired,Retired,,PhD,
20000000202,Amaka,Adeyemi,Female,59,1967-01-01,Widowed,Nigerian,Employed,Civil Servant,Informal,Masters,0.0
20000000203,Ade,Lawal,Male,30,1996-01-01,Married,Nigerian,Employed,Civil Servant,Public,PhD,8.0
20000000204,Fatima,Mohammed,Female,45,1981-01-01,Divorced,Nigerian,Self-Employed,Artisan,Public,Primary,21.0
20000000205,Aisha,Sadiq,Female,73,1953-01-01,Widowed,Nigerian,Retired,Retired,,Bachelors,
20000000206,Emeka,Adeyemi,Male,22,2004-01-01,Divorced,Nigerian,Self-Employed,Artisan,Public,Primary,2.0
20000000207,Aisha,Balogun,Female,56,1970-01-01,Married,Nigerian,Employed,Teacher,Public,Primary,38.0
20000000208,Yusuf,Abdullahi,Male,59,1967-01-01,Widowed,Nigerian,Unemployed,None,,Diploma,
20000000209,Zainab,Mohammed,Female,38,1988-01-01,Widowed,Nigerian,Self-Employed,Farmer,Informal,Diploma,11.0
20000000210,Sade,Balogun,Female,36,1990-01-01,Widowed,Nigerian,Self-Employed,Consultant,NGO,PhD,13.0
20000000211,Sadiq,Lawal,Male,37,1989-01-01,Divorced,Nigerian,Employed,Teacher,NGO,Bachelors,6.0
20000000212,Bisi,Balogun,Female,54,1972-01-01,Single,Nigerian,Employed,Teacher,Public,Bachelors,25.0
20000000213,Sade,Balogun,Female,31,1995-01-01,Divorced,Nigerian,Employed,Engineer,Private,Bachelors,4.0
20000000214,Yusuf,Abdullahi,Male,57,1969-01-01,Widowed,Nigerian,Self-Employed,Artisan,Private,Primary,27.0
20000000215,Tunde,Adeyemi,Male,38,1988-01-01,Divorced,Nigerian,Employed,Engineer,Private,PhD,6.0
20000000216,Amaka,Sadiq,Female,53,1973-01-01,Married,Nigerian,Self-Employed,Trader,Public,Masters,19.0
20000000217,Zainab,Akinwale,Female,36,1990-01-01,Widowed,Nigerian,Employed,Civil Servant,NGO,PhD,17.0
20000000218,Emeka,Adeyemi,Male,35,1991-01-01,Widowed,Nigerian,Student,Student,,Masters,
20000000219,Yusuf,Akinwale,Male,31,1995-01-01,Widowed,Nigerian,Employed,Engineer,Informal,Primary,9.0
20000000220,Emeka,Adeyemi,Male,62,1964-01-01,Widowed,Nigerian,Self-Employed,Farmer,NGO,PhD,30.0
20000000221,Bisi,Sadiq,Female,18,2008-01-01,Divorced,Nigerian,Student,Student,,PhD,
20000000222,Emeka,Okafor,Male,71,1955-01-01,Married,Nigerian,Retired,Retired,,Secondary,
20000000223,Tunde,Balogun,Male,74,1952-01-01,Divorced,Nigerian,Retired,Retired,,PhD,
20000000224,Musa,Sadiq,Male,53,1973-01-01,Widowed,Nigerian,Unemployed,None,,Masters,
20000000225,Fatima,Balogun,Female,38,1988-01-01,Married,Nigerian,Retired,Retired,,Primary,
20000000226,Amaka,Adeyemi,Female,57,1969-01-01,Married,Nigerian,Employed,Analyst,Informal,Diploma,3.0
20000000227,Kemi,Lawal,Female,66,1960-01-01,Single,Nigerian,Retired,Retired,,Primary,
20000000228,Fatima,Okoye,Female,40,1986-01-01,Divorced,Nigerian,Employed,Civil Servant,Private,Masters,1.0
20000000229,Ibrahim,Okafor,Male,29,1997-01-01,Divorced,Nigerian,Unemployed,None,,Secondary,
20000000230,Tunde,Okafor,Male,54,1972-01-01,Divorced,Nigerian,Retired,Retired,,Primary,
20000000231,Fatima,Balogun,Female,53,1973-01-01,Married,Nigerian,Retired,Retired,,Primary,
20000000232,Ibrahim,Okoye,Male,26,2000-01-01,Single,Nigerian,Self-Employed,Artisan,NGO,PhD,6.0
20000000233,Ade,Abdullahi,Male,28,1998-01-01,Married,Nigerian,Student,Student,,Diploma,
20000000234,Zainab,Ogunleye,Female,23,2003-01-01,Divorced,Nigerian,Retired,Retired,,Bachelors,
20000000235,Kunle,Okoye,Male,40,1986-01-01,Divorced,Nigerian,Retired,Retired,,PhD,
20000000236,Yusuf,Adeyemi,Male,72,1954-01-01,Widowed,Nigerian,Retired,Retired,,Primary,
20000000237,Chinedu,Ogunleye,Male,52,1974-01-01,Widowed,Nigerian,Self-Employed,Consultant,NGO,Diploma,22.0
20000000238,Halima,Sadiq,Female,69,1957-01-01,Divorced,Nigerian,Retired,Retired,,Diploma,
20000000239,Olu,Akinwale,Male,49,1977-01-01,Divorced,Nigerian,Unemployed,None,,Primary,
20000000240,Fatima,Okoye,Female,32,1994-01-01,Divorced,Nigerian,Unemployed,None,,Secondary,
20000000241,Zainab,Akinwale,Female,26,2000-01-01,Married,Nigerian,Employed,Teacher,NGO,PhD,0.0
20000000242,Sadiq,Adeyemi,Male,38,1988-01-01,Single,Nigerian,Self-Employed,Artisan,Private,Primary,8.0
20000000243,Olu,Okoye,Male,47,1979-01-01,Single,Nigerian,Unemployed,None,,Secondary,
20000000244,Olu,Lawal,Male,60,1966-01-01,Married,Nigerian,Self-Employed,Artisan,Private,PhD,32.0
20000000245,Zainab,Sadiq,Female,53,1973-01-01,Single,Nigerian,Employed,Engineer,Public,Secondary,21.0
20000000246,Aisha,Akinwale,Female,32,1994-01-01,Widowed,Nigerian,Employed,Engineer,Public,Secondary,2.0
