bvn,assessment_year,state_of_residence,local_government_area,months_total,months_high,inflows_sum,outflows_sum,spending_ratio_avg,lga_baseline_outflows,state_baseline_outflows,peer_ratio_lga,peer_ratio_state,risk_score,status,flag_reason
20000000034,2025,Anambra,Nnewi North,3,1,150179.0,159861.0,0.0,21014.0,24016.0,7.607,6.656,62.535,Review,Outflows are 7.6× higher than LGA typical.
20000000035,2025,Ebonyi,Afikpo North,3,1,934831.0,144906.0,0.0,22202.5,21407.0,6.527,6.769,59.911,Review,Outflows are 6.5× higher than LGA typical.
20000000036,2025,Benue,Gboko,3,0,67325.0,48324.0,0.0,24673.0,24444.0,1.959,1.977,26.572,Compliant,Behaviour is within typical ranges for peers.
20000000037,2025,Rivers,Okrika,3,0,23835.0,61584.0,0.0,20778.0,23743.0,2.964,2.594,35.677,Compliant,Outflows are 3.0× higher than LGA typical.
20000000038,2025,Benue,Gboko,3,0,342147.0,72974.0,0.0,24673.0,25532.0,2.958,2.858,35.629,Compliant,Outflows are 3.0× higher than LGA typical.
20000000039,2025,Adamawa,Mubi North,3,1,519157.0,263349.0,0.0,25725.0,25661.0,10.237,10.263,63.667,Review,Outflows are 10.2× higher than LGA typical.
20000000040,2025,Ebonyi,Abakaliki,3,2,127048.0,170132.0,0.0,21185.0,21407.0,8.031,7.947,69.333,Flagged,Outflows are 8.0× higher than LGA typical. Pattern repeats in 2/3 months.
20000000041,2025,Taraba,Jalingo,3,1,717162.0,390499.0,0.0,23615.0,25802.0,16.536,15.134,63.667,Review,Outflows are 16.5× higher than LGA typical.
20000000042,2025,Katsina,Katsina,3,1,884429.0,236411.0,0.0,22129.5,21760.0,10.683,10.864,63.667,Review,Outflows are 10.7× higher than LGA typical.
20000000043,2025,Imo,Orlu,3,2,339209.0,328186.0,0.0,22036.0,21380.5,14.893,15.35,69.333,Flagged,Outflows are 14.9× higher than LGA typical. Pattern repeats in 2/3 months.
20000000044,2025,Kogi,Lokoja,3,1,807171.0,398519.0,0.0,26183.5,24707.0,15.22,16.13,63.667,Review,Outflows are 15.2× higher than LGA typical.
20000000045,2025,Borno,Maiduguri,3,2,1082826.0,235349.0,0.0,21821.0,22047.0,10.785,10.675,69.333,Flagged,Outflows are 10.8× higher than LGA typical. Pattern repeats in 2/3 months.
20000000046,2025,Taraba,Wukari,3,1,115719.0,89754.0,0.0,27460.0,23429.0,3.269,3.831,47.112,Review,Outflows are 3.3× higher than LGA typical.
20000000047,2025,Lagos,Ikeja,3,0,49467.0,62674.0,0.0,23011.0,21460.5,2.724,2.92,35.345,Compliant,Outflows are 2.7× higher than LGA typical.
20000000048,2025,Jigawa,Dutse,3,1,999531.0,158386.0,0.0,24392.0,24136.0,6.493,6.562,59.213,Review,Outflows are 6.5× higher than LGA typical.
20000000049,2025,Jigawa,Hadejia,3,2,352604.0,457821.0,0.0,21445.0,21752.0,21.349,21.047,69.333,Flagged,Outflows are 21.3× higher than LGA typical. Pattern repeats in 2/3 months.
20000000050,2025,Taraba,Wukari,3,1,217022.0,300451.0,0.0,27445.0,28268.5,10.947,10.628,63.667,Review,Outflows are 10.9× higher than LGA typical.
20000000051,2025,Imo,Orlu,3,2,220730.0,378808.0,0.0,21654.5,22030.5,17.493,17.195,69.333,Flagged,Outflows are 17.5× higher than LGA typical. Pattern repeats in 2/3 months.
20000000052,2025,Bauchi,Bauchi,3,2,716948.0,307400.0,0.0,19263.0,21023.0,15.958,14.622,69.333,Flagged,Outflows are 16.0× higher than LGA typical. Pattern repeats in 2/3 months.
20000000053,2025,Benue,Makurdi,3,0,243169.0,37777.0,0.0,27641.0,22833.0,1.367,1.654,22.57,Compliant,Behaviour is within typical ranges for peers.
20000000054,2025,Kano,Tarauni,3,2,1250345.0,340482.0,0.0,27685.5,23639.5,12.298,14.403,69.333,Flagged,Outflows are 12.3× higher than LGA typical. Pattern repeats in 2/3 months.
20000000055,2025,Kebbi,Birnin Kebbi,3,0,89253.0,43485.0,0.0,25929.5,24238.0,1.677,1.794,24.391,Compliant,Behaviour is within typical ranges for peers.
20000000056,2025,Taraba,Wukari,3,2,948289.0,578593.0,0.0,26713.0,23429.0,21.66,24.696,69.333,Flagged,Outflows are 21.7× higher than LGA typical. Pattern repeats in 2/3 months.
20000000057,2025,FCT,Abuja Municipal,3,0,82579.0,80376.0,0.0,23732.0,23890.0,3.387,3.364,38.676,Compliant,Outflows are 3.4× higher than LGA typical.
20000000058,2025,Kano,Nassarawa,3,0,147543.0,70139.0,0.0,25296.5,24089.0,2.773,2.912,35.277,Compliant,Outflows are 2.8× higher than LGA typical.
20000000059,2025,Jigawa,Hadejia,3,2,93925.0,390722.0,0.0,21445.0,21224.0,18.22,18.409,69.333,Flagged,Outflows are 18.2× higher than LGA typical. Pattern repeats in 2/3 months.
20000000060,2025,Borno,Maiduguri,3,2,913227.0,240829.0,0.0,20916.0,21243.5,11.514,11.337,69.333,Flagged,Outflows are 11.5× higher than LGA typical. Pattern repeats in 2/3 months.
20000000061,2025,Ekiti,Oye,3,2,232367.0,247360.0,0.0,20311.0,23494.0,12.179,10.529,69.333,Flagged,Outflows are 12.2× higher than LGA typical. Pattern repeats in 2/3 months.
20000000062,2025,Kwara,Ilorin West,3,0,40716.0,36172.0,0.0,23614.0,19995.0,1.532,1.809,24.577,Compliant,Behaviour is within typical ranges for peers.
20000000063,2025,Edo,Egor,3,0,86546.0,63403.0,0.0,27749.0,25734.0,2.285,2.464,31.522,Compliant,Behaviour is within typical ranges for peers.
20000000064,2025,Benue,Gboko,3,2,863629.0,209993.0,0.0,19412.5,22833.0,10.817,9.197,69.333,Flagged,Outflows are 10.8× higher than LGA typical. Pattern repeats in 2/3 months.
20000000065,2025,Kwara,Ilorin East,3,0,95427.0,25909.0,0.0,26835.0,23427.5,0.965,1.106,13.513,Compliant,Behaviour is within typical ranges for peers.
20000000066,2025,Ekiti,Oye,3,0,82441.0,63704.0,0.0,26505.5,22895.0,2.403,2.782,34.256,Compliant,Outflows are 2.8× higher than State typical.
20000000067,2025,Enugu,Enugu South,3,0,42284.0,55233.0,0.0,20166.0,21609.5,2.739,2.556,33.902,Compliant,Outflows are 2.7× higher than LGA typical.
20000000068,2025,Jigawa,Hadejia,3,2,329001.0,325592.0,0.0,28868.0,26604.0,11.279,12.238,69.333,Flagged,Outflows are 11.3× higher than LGA typical. Pattern repeats in 2/3 months.
20000000069,2025,Kwara,Offa,3,0,100670.0,30326.0,0.0,19392.5,23003.0,1.564,1.318,21.302,Compliant,Behaviour is within typical ranges for peers.
20000000070,2025,Enugu,Enugu North,3,1,620932.0,253129.0,0.0,23048.5,24813.5,10.982,10.201,63.667,Review,Outflows are 11.0× higher than LGA typical.
20000000071,2025,Lagos,Alimosho,3,1,170865.0,109584.0,0.0,20387.5,19873.0,5.375,5.514,55.301,Review,Outflows are 5.4× higher than LGA typical.
20000000072,2025,Bauchi,Bauchi,3,0,21288.0,57865.0,0.0,25496.0,23247.0,2.27,2.489,31.752,Compliant,Behaviour is within typical ranges for peers.
20000000073,2025,Anambra,Awka South,3,0,194385.0,53192.0,0.0,21766.0,24016.0,2.444,2.215,31.339,Compliant,Behaviour is within typical ranges for peers.
20000000074,2025,Rivers,Obio-Akpor,3,1,160158.0,280020.0,0.0,20878.5,23753.0,13.412,11.789,63.667,Review,Outflows are 13.4× higher than LGA typical.
20000000075,2025,Delta,Warri South,3,1,331268.0,100048.0,0.0,19922.5,22981.0,5.022,4.354,53.198,Review,Outflows are 5.0× higher than LGA typical.
20000000076,2025,Taraba,Jalingo,3,2,418124.0,213091.0,0.0,23615.0,23429.0,9.024,9.095,69.333,Flagged,Outflows are 9.0× higher than LGA typical. Pattern repeats in 2/3 months.
20000000077,2025,Anambra,Nnewi North,3,0,77398.0,21110.0,0.0,25006.0,23248.0,0.844,0.908,11.25,Compliant,Behaviour is within typical ranges for peers.
20000000078,2025,Rivers,Okrika,3,0,95641.0,73429.0,0.0,20778.0,23506.0,3.534,3.124,39.632,Compliant,Outflows are 3.5× higher than LGA typical.
20000000079,2025,Ekiti,Ado-Ekiti,3,0,231094.0,46368.0,0.0,21654.0,22532.0,2.141,2.058,28.368,Compliant,Behaviour is within typical ranges for peers.
20000000080,2025,Nasarawa,Keffi,3,2,108687.0,563134.0,0.0,23467.0,23998.5,23.997,23.465,69.333,Flagged,Outflows are 24.0× higher than LGA typical. Pattern repeats in 2/3 months.
20000000081,2025,Oyo,Ibadan South-West,3,2,627242.0,298048.0,0.0,24314.5,24687.0,12.258,12.073,69.333,Flagged,Outflows are 12.3× higher than LGA typical. Pattern repeats in 2/3 months.
20000000082,2025,Enugu,Nsukka,3,0,51964.0,40031.0,0.0,23746.5,24952.5,1.686,1.604,22.991,Compliant,Behaviour is within typical ranges for peers.
20000000083,2025,Niger,Bida,3,2,544648.0,394189.0,0.0,22500.5,23613.5,17.519,16.693,69.333,Flagged,Outflows are 17.5× higher than LGA typical. Pattern repeats in 2/3 months.
20000000084,2025,Katsina,Daura,3,2,551962.0,247866.0,0.0,22814.0,21760.0,10.865,11.391,69.333,Flagged,Outflows are 10.9× higher than LGA typical. Pattern repeats in 2/3 months.
20000000085,2025,Kwara,Ilorin East,3,2,521965.0,166756.0,0.0,24431.0,23198.0,6.826,7.188,66.928,Flagged,Outflows are 6.8× higher than LGA typical. Pattern repeats in 2/3 months.
20000000086,2025,Taraba,Jalingo,3,0,31625.0,21601.0,0.0,26767.0,21693.5,0.807,0.996,11.25,Compliant,Behaviour is within typical ranges for peers.
20000000087,2025,Lagos,Alimosho,3,0,26072.0,65157.0,0.0,24664.0,22604.0,2.642,2.883,35.051,Compliant,Outflows are 2.6× higher than LGA typical.
20000000088,2025,Kogi,Lokoja,3,1,295635.0,153436.0,0.0,24983.5,25477.0,6.141,6.023,57.723,Review,Outflows are 6.1× higher than LGA typical.
20000000089,2025,FCT,Bwari,3,2,86992.0,372379.0,0.0,26222.0,24213.0,14.201,15.379,69.333,Flagged,Outflows are 14.2× higher than LGA typical. Pattern repeats in 2/3 months.
20000000090,2025,Edo,Ikpoba-Okha,3,2,939720.0,470336.0,0.0,25233.0,22661.0,18.64,20.755,69.333,Flagged,Outflows are 18.6× higher than LGA typical. Pattern repeats in 2/3 months.
20000000091,2025,Lagos,Ikeja,3,0,70061.0,22208.0,0.0,17083.0,24765.0,1.3,0.897,17.149,Compliant,Behaviour is within typical ranges for peers.
20000000092,2025,Enugu,Enugu North,3,0,44172.0,36444.0,0.0,24674.5,23064.0,1.477,1.58,21.536,Compliant,Behaviour is within typical ranges for peers.
20000000093,2025,Benue,Gboko,3,2,195372.0,713562.0,0.0,26984.0,24444.0,26.444,29.192,69.333,Flagged,Outflows are 26.4× higher than LGA typical. Pattern repeats in 2/3 months.
20000000094,2025,Gombe,Kaltungo,3,0,56653.0,21394.0,0.0,22681.0,21434.0,0.943,0.998,11.25,Compliant,Behaviour is within typical ranges for peers.
20000000095,2025,Gombe,Gombe,3,2,204046.0,483055.0,0.0,26759.5,22807.0,18.052,21.18,69.333,Flagged,Outflows are 18.1× higher than LGA typical. Pattern repeats in 2/3 months.
20000000096,2025,Katsina,Daura,3,1,502129.0,106074.0,0.0,23663.0,21760.0,4.483,4.875,52.53,Review,Outflows are 4.5× higher than LGA typical.
20000000097,2025,Niger,Minna,3,1,22836.0,69172.0,0.0,26613.5,26454.0,2.599,2.615,38.526,Compliant,Outflows are 2.6× higher than LGA typical.
20000000098,2025,Ebonyi,Abakaliki,3,2,169697.0,473797.0,0.0,25951.0,24046.0,18.257,19.704,69.333,Flagged,Outflows are 18.3× higher than LGA typical. Pattern repeats in 2/3 months.
20000000099,2025,Delta,Oshimili South,3,2,598274.0,618987.0,0.0,21715.0,24853.0,28.505,24.906,69.333,Flagged,Outflows are 28.5× higher than LGA typical. Pattern repeats in 2/3 months.
20000000100,2025,Akwa Ibom,Uyo,3,0,46751.0,20623.0,0.0,22650.0,22832.0,0.911,0.903,11.25,Compliant,Behaviour is within typical ranges for peers.
20000000101,2025,Kaduna,Kaduna South,3,0,91107.0,78324.0,0.0,23718.0,25814.0,3.302,3.034,38.107,Compliant,Outflows are 3.3× higher than LGA typical.
20000000102,2025,Rivers,Port Harcourt,3,0,156126.0,56187.0,0.0,24776.5,26674.5,2.268,2.106,29.658,Compliant,Behaviour is within typical ranges for peers.
20000000103,2025,Imo,Owerri Municipal,3,2,715260.0,596983.0,0.0,28385.5,24297.5,21.031,24.57,69.333,Flagged,Outflows are 21.0× higher than LGA typical. Pattern repeats in 2/3 months.
20000000104,2025,Jigawa,Dutse,3,0,87843.0,86107.0,0.0,24929.0,26604.0,3.454,3.237,39.118,Compliant,Outflows are 3.5× higher than LGA typical.
20000000105,2025,Kogi,Okene,3,2,847827.0,150753.0,0.0,25569.5,24871.0,5.896,6.061,63.095,Review,Outflows are 5.9× higher than LGA typical. Pattern repeats in 2/3 months.
20000000106,2025,Plateau,Jos South,3,2,627732.0,1079149.0,0.0,25571.0,24638.5,42.202,43.799,69.333,Flagged,Outflows are 42.2× higher than LGA typical. Pattern repeats in 2/3 months.
20000000107,2025,Oyo,Ibadan North,3,1,1520381.0,240049.0,0.0,25788.0,25475.0,9.309,9.423,63.667,Review,Outflows are 9.3× higher than LGA typical.
20000000108,2025,Oyo,Oyo East,3,0,151077.0,79029.0,0.0,24231.0,24687.0,3.261,3.201,37.828,Compliant,Outflows are 3.3× higher than LGA typical.
20000000109,2025,Oyo,Ogbomosho North,3,1,679095.0,244231.0,0.0,22459.0,26016.0,10.875,9.388,63.667,Review,Outflows are 10.9× higher than LGA typical.
20000000110,2025,Anambra,Awka South,3,0,114148.0,31231.0,0.0,22799.0,23248.0,1.37,1.343,18.325,Compliant,Behaviour is within typical ranges for peers.
20000000111,2025,Lagos,Eti-Osa,3,2,665996.0,343952.0,0.0,27248.5,23760.0,12.623,14.476,69.333,Flagged,Outflows are 12.6× higher than LGA typical. Pattern repeats in 2/3 months.
20000000112,2025,Ondo,Owo,3,1,367592.0,403496.0,0.0,22675.5,25768.5,17.794,15.658,63.667,Review,Outflows are 17.8× higher than LGA typical.
20000000113,2025,Bayelsa,Ogbia,3,1,968728.0,255627.0,0.0,24214.0,26019.0,10.557,9.825,63.667,Review,Outflows are 10.6× higher than LGA typical.
20000000114,2025,Ekiti,Oye,3,0,135404.0,59921.0,0.0,26453.5,23494.0,2.265,2.55,32.299,Compliant,Outflows are 2.6× higher than State typical.
20000000115,2025,Delta,Oshimili South,3,0,33163.0,65362.0,0.0,20434.0,23873.0,3.199,2.738,37.391,Compliant,Outflows are 3.2× higher than LGA typical.
20000000116,2025,Jigawa,Hadejia,3,0,90771.0,13372.0,0.0,28868.0,26604.0,0.463,0.503,11.25,Compliant,Behaviour is within typical ranges for peers.
20000000117,2025,Bayelsa,Yenagoa,3,2,374723.0,535544.0,0.0,21810.0,21810.0,24.555,24.555,69.333,Flagged,Outflows are 24.6× higher than LGA typical. Pattern repeats in 2/3 months.
20000000118,2025,Sokoto,Tambuwal,3,0,121014.0,97090.0,0.0,26059.0,23979.5,3.726,4.049,42.69,Review,Outflows are 3.7× higher than LGA typical.
20000000119,2025,Anambra,Onitsha North,3,2,493115.0,611668.0,0.0,25931.5,23991.0,23.588,25.496,69.333,Flagged,Outflows are 23.6× higher than LGA typical. Pattern repeats in 2/3 months.
20000000120,2025,Delta,Udu,3,0,87926.0,27434.0,0.0,21190.5,23873.0,1.295,1.149,17.056,Compliant,Behaviour is within typical ranges for peers.
20000000121,2025,Gombe,Kaltungo,3,0,52467.0,47878.0,0.0,24304.0,25400.0,1.97,1.885,26.493,Compliant,Behaviour is within typical ranges for peers.
20000000122,2025,Abia,Aba South,3,1,889838.0,173535.0,0.0,24889.0,22198.0,6.972,7.818,63.148,Review,Outflows are 7.0× higher than LGA typical.
20000000123,2025,Ogun,Sagamu,3,1,190148.0,157210.0,0.0,27819.0,25208.0,5.651,6.237,58.068,Review,Outflows are 5.7× higher than LGA typical.
20000000124,2025,Gombe,Gombe,3,0,92754.0,46781.0,0.0,20987.0,19989.0,2.229,2.34,30.366,Compliant,Behaviour is within typical ranges for peers.
20000000125,2025,Adamawa,Yola North,3,0,53698.0,48844.0,0.0,21877.5,24202.0,2.233,2.018,29.307,Compliant,Behaviour is within typical ranges for peers.
20000000126,2025,Enugu,Enugu South,3,1,200826.0,106424.0,0.0,20166.0,21609.5,5.277,4.925,54.314,Review,Outflows are 5.3× higher than LGA typical.
20000000127,2025,Kaduna,Kaduna South,3,2,497322.0,324846.0,0.0,25432.0,24311.0,12.773,13.362,69.333,Flagged,Outflows are 12.8× higher than LGA typical. Pattern repeats in 2/3 months.
20000000128,2025,Kogi,Lokoja,3,1,986872.0,186518.0,0.0,24427.0,24707.0,7.636,7.549,62.619,Review,Outflows are 7.6× higher than LGA typical.
20000000129,2025,Ekiti,Oye,3,0,28890.0,21103.0,0.0,26453.5,22532.0,0.798,0.937,11.25,Compliant,Behaviour is within typical ranges for peers.
20000000130,2025,Adamawa,Yola North,3,1,617269.0,219376.0,0.0,21570.0,23549.0,10.17,9.316,63.667,Review,Outflows are 10.2× higher than LGA typical.
20000000131,2025,Gombe,Gombe,3,2,376272.0,331215.0,0.0,21161.0,24199.0,15.652,13.687,69.333,Flagged,Outflows are 15.7× higher than LGA typical. Pattern repeats in 2/3 months.
20000000132,2025,Adamawa,Mubi North,3,1,149827.0,102864.0,0.0,26240.5,24202.0,3.92,4.25,49.447,Review,Outflows are 3.9× higher than LGA typical.
20000000133,2025,Ogun,Abeokuta South,3,1,306025.0,544176.0,0.0,24979.0,24251.5,21.785,22.439,63.667,Review,Outflows are 21.8× higher than LGA typical.
20000000134,2025,Nasarawa,Keffi,3,0,35796.0,54868.0,0.0,23467.0,24597.0,2.338,2.231,30.345,Compliant,Behaviour is within typical ranges for peers.
20000000135,2025,Kwara,Ilorin West,3,0,116412.0,56280.0,0.0,23614.0,20083.5,2.383,2.802,34.416,Compliant,Outflows are 2.8× higher than State typical.
20000000136,2025,Ondo,Owo,3,0,174131.0,80462.0,0.0,23624.0,22327.0,3.406,3.604,40.072,Review,Outflows are 3.4× higher than LGA typical.
20000000137,2025,Edo,Ikpoba-Okha,3,0,71859.0,10374.0,0.0,23243.0,25320.0,0.446,0.41,11.25,Compliant,Behaviour is within typical ranges for peers.
20000000138,2025,Cross River,Calabar Municipal,3,0,222304.0,49161.0,0.0,25550.0,24490.5,1.924,2.007,26.916,Compliant,Behaviour is within typical ranges for peers.
20000000139,2025,Gombe,Kaltungo,3,0,70467.0,14586.0,0.0,19239.5,21369.0,0.758,0.683,11.25,Compliant,Behaviour is within typical ranges for peers.
20000000140,2025,Adamawa,Yola North,3,0,11840.0,59408.0,0.0,21570.0,23549.0,2.754,2.523,34.027,Compliant,Outflows are 2.8× higher than LGA typical.
20000000141,2025,Delta,Warri South,3,2,911424.0,449313.0,0.0,25224.0,24462.0,17.813,18.368,69.333,Flagged,Outflows are 17.8× higher than LGA typical. Pattern repeats in 2/3 months.
20000000142,2025,Ekiti,Ado-Ekiti,3,2,171199.0,330778.0,0.0,25326.0,24796.0,13.061,13.34,69.333,Flagged,Outflows are 13.1× higher than LGA typical. Pattern repeats in 2/3 months.
20000000143,2025,Kano,Gwale,3,0,78901.0,57598.0,0.0,24055.0,23639.5,2.394,2.437,31.272,Compliant,Behaviour is within typical ranges for peers.
20000000144,2025,Cross River,Ikom,3,1,1022312.0,148750.0,0.0,22387.0,24490.5,6.644,6.074,59.493,Review,Outflows are 6.6× higher than LGA typical.
20000000145,2025,Lagos,Yaba,3,2,799338.0,348875.0,0.0,19428.0,22604.0,17.957,15.434,69.333,Flagged,Outflows are 18.0× higher than LGA typical. Pattern repeats in 2/3 months.
20000000146,2025,Imo,Owerri Municipal,3,1,216955.0,106990.0,0.0,22087.0,20116.0,4.844,5.319,54.489,Review,Outflows are 4.8× higher than LGA typical.
20000000147,2025,Kano,Nassarawa,3,0,40376.0,69677.0,0.0,25296.5,21474.0,2.754,3.245,37.712,Compliant,Outflows are 2.8× higher than LGA typical.
20000000148,2025,Bauchi,Azare,3,1,179574.0,77439.0,0.0,22566.5,24218.0,3.432,3.198,44.638,Review,Outflows are 3.4× higher than LGA typical.
20000000149,2025,Taraba,Wukari,3,1,977652.0,444620.0,0.0,27460.0,22205.0,16.192,20.023,63.667,Review,Outflows are 16.2× higher than LGA typical.
20000000150,2025,Niger,Minna,3,2,472487.0,514861.0,0.0,23767.0,23613.5,21.663,21.804,69.333,Flagged,Outflows are 21.7× higher than LGA typical. Pattern repeats in 2/3 months.
20000000151,2025,Kano,Tarauni,3,0,585192.0,48209.0,0.0,26127.5,25060.0,1.845,1.924,25.959,Compliant,Behaviour is within typical ranges for peers.
20000000152,2025,Borno,Maiduguri,3,0,50338.0,70610.0,0.0,22599.0,21107.0,3.124,3.345,38.399,Compliant,Outflows are 3.1× higher than LGA typical.
20000000153,2025,Akwa Ibom,Eket,3,0,82200.0,28372.0,0.0,23031.0,26628.0,1.232,1.065,15.939,Compliant,Behaviour is within typical ranges for peers.
20000000154,2025,Kebbi,Argungu,3,0,159301.0,15093.0,0.0,19716.0,22115.0,0.766,0.682,11.25,Compliant,Behaviour is within typical ranges for peers.
20000000155,2025,Anambra,Awka South,3,0,68881.0,55967.0,0.0,21766.0,20409.0,2.571,2.742,33.93,Compliant,Outflows are 2.6× higher than LGA typical.
20000000156,2025,Kebbi,Birnin Kebbi,3,0,88077.0,39856.0,0.0,20515.0,22115.0,1.943,1.802,26.181,Compliant,Behaviour is within typical ranges for peers.
20000000157,2025,Gombe,Gombe,3,0,209137.0,104432.0,0.0,26244.0,24281.5,3.979,4.301,44.047,Review,Outflows are 4.0× higher than LGA typical.
