bvn,employer_id,job_title,employment_type,start_date,end_date,is_current,work_state,work_lga
20000000206,EMP_000150,Marketing Associate,Full-time,2017-01-05,2017-12-31,False,Akwa Ibom,Uyo
20000000207,EMP_000145,Procurement Officer,Full-time,2018-10-13,2019-06-10,False,Katsina,Daura
20000000208,EMP_000183,Operations Associate,Full-time,2019-10-24,2021-02-15,False,Enugu,Enugu South
20000000208,EMP_000099,Data Analyst,Full-time,2020-08-13,2021-09-07,False,Enugu,Enugu South
20000000210,EMP_000036,Project Manager,Full-time,2020-05-01,,True,Niger,Bida
20000000211,EMP_000059,Procurement Officer,Contract,2018-05-06,2020-04-25,False,Kaduna,Kaduna North
20000000216,EMP_000012,Project Manager,Contract,2024-03-01,2025-08-23,False,Yobe,Potiskum
20000000216,EMP_000148,Sales Executive,Full-time,2025-04-16,,True,Yobe,Potiskum
20000000219,EMP_000064,Account Officer,Full-time,2022-05-06,2024-02-25,False,Imo,Orlu
20000000219,EMP_000075,Project Manager,Full-time,2023-12-04,,True,Imo,Orlu
20000000220,EMP_000044,Field Officer,Full-time,2021-01-28,2021-07-27,False,Anambra,Awka South
20000000220,EMP_000143,Procurement Officer,Full-time,2022-08-26,,True,Anambra,Awka South
20000000221,EMP_000045,Field Officer,Full-time,2024-03-19,2025-09-10,False,Delta,Oshimili South
20000000222,EMP_000166,Account Officer,Full-time,2022-10-08,2024-03-01,False,Delta,Oshimili South
20000000222,EMP_000087,Teacher,Full-time,2023-02-24,2024-10-16,False,Delta,Oshimili South
20000000222,EMP_000149,Sales Executive,Full-time,2024-12-08,,True,Delta,Oshimili South
20000000223,EMP_000029,Nurse,Full-time,2023-08-28,2025-09-16,False,Abia,Aba South
20000000223,EMP_000096,Procurement Officer,Full-time,2024-07-04,2025-07-29,False,Abia,Aba South
20000000226,EMP_000113,Nurse,Part-time,2019-04-20,2020-11-10,False,Bauchi,Azare
20000000226,EMP_000102,Software Engineer,Full-time,2020-09-13,,True,Bauchi,Azare
20000000227,EMP_000160,Sales Executive,Full-time,2020-05-27,2022-07-16,False,Bayelsa,Yenagoa
20000000228,EMP_000015,Sales Executive,Full-time,2019-08-02,2021-03-24,False,Bayelsa,Ogbia
20000000229,EMP_000120,Logistics Coordinator,Contract,2022-12-16,,True,Cross River,Calabar Municipal
20000000230,EMP_000092,Operations Associate,Full-time,2024-06-17,2026-03-09,False,Jigawa,Hadejia
20000000230,EMP_000070,Teacher,Part-time,2025-04-15,2026-02-09,False,Jigawa,Hadejia
20000000232,EMP_000044,Project Manager,Part-time,2018-04-20,,True,Nasarawa,Lafia
20000000233,EMP_000023,Procurement Officer,Full-time,2020-05-19,2021-12-10,False,Cross River,Ikom
20000000233,EMP_000097,Nurse,Full-time,2021-04-08,2023-07-27,False,Cross River,Ikom
20000000234,EMP_000026,Nurse,Full-time,2018-04-06,2019-10-28,False,Enugu,Nsukka
20000000239,EMP_000059,Software Engineer,Full-time,2018-07-23,2020-01-14,False,Ondo,Akure South
20000000239,EMP_000124,Project Manager,Full-time,2019-03-02,2020-04-25,False,Ondo,Akure South
20000000240,EMP_000054,Data Analyst,Contract,2020-12-20,,True,Abia,Umuahia North
20000000241,EMP_000125,Marketing Associate,Full-time,2021-02-24,2021-10-22,False,Yobe,Potiskum
20000000243,EMP_000138,Customer Support,Part-time,2020-01-20,,True,Abia,Aba South
20000000244,EMP_000015,Sales Executive,Part-time,2018-07-18,,True,FCT,Bwari
20000000246,EMP_000023,Logistics Coordinator,Full-time,2016-11-23,2018-10-14,False,Zamfara,Kaura Namoda
20000000248,EMP_000180,Account Officer,Contract,2018-01-14,,True,Ebonyi,Afikpo North
20000000249,EMP_000006,Account Officer,Full-time,2021-04-15,2023-06-04,False,Ekiti,Ikere
20000000250,EMP_000101,Field Officer,Contract,2021-07-05,2023-04-26,False,Kwara,Offa
20000000250,EMP_000004,Nurse,Part-time,2022-11-03,,True,Kwara,Offa
20000000251,EMP_000010,Procurement Officer,Full-time,2021-11-18,2022-11-13,False,Osun,Ilesa East
20000000252,EMP_000199,Procurement Officer,Part-time,2018-04-20,2019-10-12,False,Katsina,Katsina
20000000253,EMP_000082,Operations Associate,Full-time,2016-11-13,2018-09-04,False,Lagos,Surulere
20000000254,EMP_000196,Teacher,Full-time,2021-12-28,2022-11-23,False,Taraba,Wukari
20000000255,EMP_000177,Software Engineer,Contract,2024-11-04,,True,Bauchi,Bauchi
20000000256,EMP_000029,Customer Support,Full-time,2021-11-05,2023-04-29,False,Ekiti,Ikere
20000000257,EMP_000179,Customer Support,Full-time,2024-02-07,2025-12-28,False,Borno,Biu
20000000257,EMP_000028,Marketing Associate,Full-time,2025-10-02,,True,Borno,Biu
20000000258,EMP_000124,Teacher,Part-time,2020-11-24,2023-01-13,False,Abia,Aba South
20000000258,EMP_000026,Project Manager,Full-time,2021-11-12,2024-01-31,False,Abia,Aba South
20000000258,EMP_000093,Account Officer,Full-time,2022-09-03,,True,Abia,Aba South
20000000260,EMP_000064,Account Officer,Full-time,2019-01-26,2021-03-16,False,Benue,Otukpo
20000000260,EMP_000160,Sales Executive,Full-time,2020-04-05,2022-07-24,False,Benue,Otukpo
20000000262,EMP_000009,Procurement Officer,Full-time,2024-10-23,,True,Ebonyi,Abakaliki
20000000263,EMP_000104,Operations Associate,Full-time,2018-01-27,,True,Niger,Bida
20000000264,EMP_000191,Nurse,Full-time,2017-07-28,,True,Ekiti,Ado-Ekiti
20000000267,EMP_000011,Procurement Officer,Full-time,2017-10-03,2019-04-26,False,Katsina,Katsina
20000000267,EMP_000124,Customer Support,Full-time,2018-09-08,2020-03-31,False,Katsina,Katsina
20000000268,EMP_000141,Field Officer,Contract,2019-05-09,2020-06-02,False,Gombe,Gombe
20000000268,EMP_000005,Procurement Officer,Full-time,2020-04-05,2021-05-30,False,Gombe,Gombe
20000000270,EMP_000049,Project Manager,Part-time,2018-02-20,2019-06-15,False,Edo,Oredo
20000000274,EMP_000160,Software Engineer,Full-time,2018-10-05,2020-05-27,False,Kogi,Okene
20000000275,EMP_000020,Teacher,Contract,2020-06-27,,True,Borno,Biu
20000000276,EMP_000035,Data Analyst,Full-time,2017-08-02,,True,Bauchi,Bauchi
20000000277,EMP_000126,Operations Associate,Full-time,2017-02-02,2017-08-01,False,Jigawa,Hadejia
20000000279,EMP_000148,Account Officer,Full-time,2020-08-25,2022-02-16,False,Anambra,Awka South
20000000279,EMP_000137,Account Officer,Full-time,2021-11-14,2022-10-10,False,Anambra,Awka South
20000000279,EMP_000163,Logistics Coordinator,Full-time,2022-03-09,2022-11-04,False,Anambra,Awka South
20000000283,EMP_000003,Nurse,Part-time,2017-12-16,2020-05-04,False,Bayelsa,Ogbia
20000000285,EMP_000050,Marketing Associate,Contract,2024-10-19,,True,Taraba,Wukari
20000000286,EMP_000034,Account Officer,Full-time,2018-10-17,,True,Ondo,Ondo West
20000000287,EMP_000138,Account Officer,Full-time,2018-11-14,2020-12-03,False,Zamfara,Gusau
20000000288,EMP_000048,Marketing Associate,Full-time,2020-04-06,2020-12-02,False,Benue,Makurdi
20000000290,EMP_000187,Field Officer,Full-time,2021-06-11,2022-02-06,False,Cross River,Calabar Municipal
20000000291,EMP_000023,Operations Associate,Contract,2017-05-02,2018-03-28,False,Borno,Biu
20000000291,EMP_000077,Field Officer,Contract,2018-02-28,2019-05-24,False,Borno,Biu
20000000291,EMP_000015,Teacher,Full-time,2019-03-04,2019-11-29,False,Borno,Biu
20000000292,EMP_000139,Teacher,Full-time,2018-10-18,2019-06-15,False,Ekiti,Ikere
20000000296,EMP_000176,Field Officer,Full-time,2017-02-22,2017-08-21,False,Adamawa,Yola North
20000000297,EMP_000168,Marketing Associate,Full-time,2020-12-02,2023-01-21,False,Sokoto,Tambuwal
20000000298,EMP_000080,Field Officer,Full-time,2022-06-18,2022-12-15,False,Benue,Gboko
20000000298,EMP_000183,Customer Support,Full-time,2023-03-28,2023-12-23,False,Benue,Gboko
20000000299,EMP_000182,Software Engineer,Contract,2017-04-15,2018-05-10,False,Kwara,Ilorin East
20000000299,EMP_000109,Operations Associate,Full-time,2018-02-05,,True,Kwara,Ilorin East
20000000300,EMP_000164,Software Engineer,Contract,2019-06-13,2021-08-01,False,Borno,Biu
20000000301,EMP_000040,Account Officer,Full-time,2024-11-19,,True,Taraba,Wukari
20000000302,EMP_000064,Data Analyst,Full-time,2024-11-19,,True,Sokoto,Tambuwal
20000000303,EMP_000098,Field Officer,Full-time,2020-09-08,2022-09-28,False,Rivers,Port Harcourt
20000000304,EMP_000006,Field Officer,Contract,2019-11-21,2021-12-10,False,Nasarawa,Lafia
20000000304,EMP_000056,Sales Executive,Part-time,2020-11-01,2022-01-25,False,Nasarawa,Lafia
20000000304,EMP_000052,Teacher,Full-time,2021-05-18,2023-07-07,False,Nasarawa,Lafia
20000000305,EMP_000100,Field Officer,Full-time,2017-08-16,2019-03-09,False,Taraba,Jalingo
20000000306,EMP_000123,Logistics Coordinator,Full-time,2021-05-10,,True,Yobe,Potiskum
20000000307,EMP_000195,Software Engineer,Full-time,2016-04-24,,True,Adamawa,Yola North
20000000308,EMP_000090,Sales Executive,Contract,2020-11-16,,True,Cross River,Calabar Municipal
20000000311,EMP_000040,Account Officer,Full-time,2022-08-21,2024-05-12,False,Rivers,Okrika
20000000311,EMP_000012,Operations Associate,Full-time,2023-02-07,2024-07-31,False,Rivers,Okrika
20000000312,EMP_000136,Nurse,Full-time,2017-04-14,,True,Zamfara,Gusau
20000000313,EMP_000126,Customer Support,Full-time,2023-09-11,2026-02-27,False,Sokoto,Sokoto North
20000000313,EMP_000131,Data Analyst,Contract,2024-03-27,2026-04-16,False,Sokoto,Sokoto North
20000000314,EMP_000088,Project Manager,Contract,2020-04-22,2020-11-18,False,Ebonyi,Afikpo North
20000000315,EMP_000099,Customer Support,Contract,2021-12-27,2024-04-15,False,Kaduna,Kaduna North
20000000315,EMP_000197,Customer Support,Full-time,2022-06-10,2024-01-01,False,Kaduna,Kaduna North
20000000315,EMP_000062,Software Engineer,Full-time,2023-09-23,2025-12-11,False,Kaduna,Kaduna North
20000000318,EMP_000067,Customer Support,Part-time,2017-10-27,2019-03-21,False,Imo,Orlu
20000000319,EMP_000151,Marketing Associate,Full-time,2021-06-02,,True,Edo,Egor
