transaction_id,from_account,to_name,to_account,amount,currency,transaction_type,narration,status,transaction_date,session_id
T33,81289203775,Hadiza Adebayo,77946131833,73352,NGN,pos_withdrawal,POS_WITHDRAWAL,SUCCESS,2025-08-28T00:00:00,0302277247047617
T34,78876575539,Yemi Sadiq,65939013024,5227959,NGN,business_purchase,BUSINESS_PURCHASE,SUCCESS,2021-05-04T00:00:00,4929060487411781
T35,14485564399,Chukwudi Olu Adeyemi,48632225468,14128,NGN,loan_repayment,LOAN_REPAYMENT,SUCCESS,2025-01-13T00:00:00,6835463309265079
T36,55418011961,Adean Limited,25545459800,79288,NGN,subscription,SUBSCRIPTION,SUCCESS,2020-12-09T00:00:00,7652642824572237
T37,54151416567,Zola Limited,95763529825,21561,NGN,subscription,SUBSCRIPTION,SUCCESS,2023-09-30T00:00:00,5930493353848319
T38,68740066714,Adean POS,37905524412,55827,NGN,refund,REFUND,SUCCESS,2020-04-16T00:00:00,7986780558706928
T39,30485093743,Blessing Ahmed,90876886511,74842,NGN,salary,SALARY,SUCCESS,2020-10-02T00:00:00,6089441098654440
T40,62018521053,Kobo POS,64430006350,68390,NGN,tax,TAX,SUCCESS,2021-06-14T00:00:00,8154679304235376
T41,10516082555,Benson Marie Okoye,61869118886,17745,NGN,subscription,SUBSCRIPTION,SUCCESS,2022-04-18T00:00:00,3298967776303478
T42,15198530306,Kobo Limited,64223246993,26790,NGN,loan_repayment,LOAN_REPAYMENT,SUCCESS,2024-01-27T00:00:00,5574459242866635
T43,28386153274,Yemi Peter Ogun,10214804078,18278,NGN,loan_repayment,LOAN_REPAYMENT,SUCCESS,2021-12-27T00:00:00,3786032613455952
T44,13130419368,Chinedu Marie Ogun,28422431820,34154,NGN,purchase,PURCHASE,SUCCESS,2025-05-13T00:00:00,5065577328160525
T45,94768096194,McVine Limited,42306272460,2578530,NGN,business_purchase,BUSINESS_PURCHASE,SUCCESS,2021-04-10T00:00:00,1156171298124449
T46,03990366358,Yemi Adebayo,99302355323,91870,NGN,pos_withdrawal,POS_WITHDRAWAL,SUCCESS,2024-12-04T00:00:00,3763964480301333
T47,76217264344,Ngozi Lawal,22459400901,11005,NGN,purchase,PURCHASE,SUCCESS,2023-09-15T00:00:00,4058402073736916
T48,42576687413,Sadiq Okafor,39182337824,72233,NGN,tax,TAX,SUCCESS,2024-03-26T00:00:00,8798533729628070
T49,97418944674,McVine Limited,84629523996,36136,NGN,loan_repayment,LOAN_REPAYMENT,SUCCESS,2022-03-01T00:00:00,3819087586696218
T50,87078080478,Blessing Marie Ogun,45563188419,29543,NGN,subscription,SUBSCRIPTION,SUCCESS,2025-12-05T00:00:00,3561348230094881
T51,81152855955,Prime Limited,61118302114,44380,NGN,subscription,SUBSCRIPTION,SUCCESS,2023-03-08T00:00:00,4199832371650804
T52,09086291878,McVine POS,26049363106,52452,NGN,pos_withdrawal,POS_WITHDRAWAL,SUCCESS,2024-04-17T00:00:00,9989826700795905
T53,22101995109,Adean POS,37905524412,26888,NGN,tax,TAX,SUCCESS,2023-10-13T00:00:00,1270191643306460
T54,32835808427,Adean POS,87442137541,27132,NGN,purchase,PURCHASE,SUCCESS,2022-06-13T00:00:00,6438139809685466
T55,64876203778,Adean Limited,95351595162,76163,NGN,refund,REFUND,SUCCESS,2020-08-31T00:00:00,7185188612592110
T56,91729180768,Sola Peter Lawal,21089591484,92881,NGN,subscription,SUBSCRIPTION,SUCCESS,2024-06-13T00:00:00,9552130117130096
T57,26673753498,Zola Limited,12486873382,9114928,NGN,business_purchase,BUSINESS_PURCHASE,SUCCESS,2025-11-02T00:00:00,3320549523836149
T58,05532051786,Hadiza Bello,37648115606,96283,NGN,refund,REFUND,SUCCESS,2021-04-10T00:00:00,5001582385192599
T59,75953572879,Hadiza Adebayo,46088960115,53712,NGN,pos_withdrawal,POS_WITHDRAWAL,SUCCESS,2021-12-14T00:00:00,9402701287224784
T60,16573525471,McVine Limited,84629523996,83143,NGN,refund,REFUND,SUCCESS,2022-03-21T00:00:00,6665569434058841
T61,30261571336,Kobo Limited,64223246993,25393,NGN,subscription,SUBSCRIPTION,SUCCESS,2023-04-11T00:00:00,8022078068589178
T62,96946051585,Adean POS,87442137541,58657,NGN,refund,REFUND,SUCCESS,2023-11-19T00:00:00,2076565487972562
T63,21113457932,Hadiza Okoye,03050665507,69015,NGN,refund,REFUND,SUCCESS,2022-02-20T00:00:00,9696746549926294
T64,00299129369,Sadiq Danladi,93834291711,77866,NGN,subscription,SUBSCRIPTION,SUCCESS,2022-08-21T00:00:00,0045101277389904
T65,55927236237,Kobo Limited,37098022980,88326,NGN,pos_withdrawal,POS_WITHDRAWAL,SUCCESS,2024-06-24T00:00:00,1334910503507223
T66,43427445713,Yemi Bello,52766526639,78375,NGN,subscription,SUBSCRIPTION,SUCCESS,2023-09-25T00:00:00,3181030252617905
T67,58131733341,Adean Limited,36096287809,90149,NGN,purchase,PURCHASE,SUCCESS,2022-08-01T00:00:00,9844369300289124
T68,26673753498,Prime Limited,61118302114,13701084,NGN,business_purchase,BUSINESS_PURCHASE,SUCCESS,2025-03-24T00:00:00,8991962815488865
T69,19844616875,McVine Limited,65266992450,90440,NGN,pos_withdrawal,POS_WITHDRAWAL,SUCCESS,2024-12-20T00:00:00,7831801794748038
T70,50102525716,Chinedu Ogun,13269208371,72128,NGN,salary,SALARY,SUCCESS,2025-08-25T00:00:00,4904775280855072
T71,58253213477,Benson Adebayo,60702244241,18906,NGN,salary,SALARY,SUCCESS,2020-10-04T00:00:00,5370005906447172
T72,02070503890,McVine Limited,65266992450,29475,NGN,salary,SALARY,SUCCESS,2021-06-09T00:00:00,9266273103882306
T73,80842521168,Oluwatobi Lawal,68322618068,50023,NGN,subscription,SUBSCRIPTION,SUCCESS,2023-09-29T00:00:00,9430491665379464
T74,80491437362,Ngozi Olu Okoye,42571229664,10265258,NGN,business_purchase,BUSINESS_PURCHASE,SUCCESS,2025-07-27T00:00:00,7984443054076092
T75,94433577056,Blessing Ahmed,38691670073,8495207,NGN,business_purchase,BUSINESS_PURCHASE,SUCCESS,2022-07-09T00:00:00,0353745867821564
T76,32715128549,McVine Limited,84629523996,97409,NGN,pos_withdrawal,POS_WITHDRAWAL,SUCCESS,2020-06-13T00:00:00,2618856919623132
T77,03032960240,Oluwatobi Lawal,24277927695,60727,NGN,refund,REFUND,SUCCESS,2020-11-28T00:00:00,6304588097903461
T78,81426622487,Zola Limited,35686409564,96239,NGN,subscription,SUBSCRIPTION,SUCCESS,2023-10-10T00:00:00,7629849554498589
T79,29513462082,Ibrahim Peter Ahmed,46202383314,99028,NGN,salary,SALARY,SUCCESS,2020-06-07T00:00:00,4169073701146346
T80,65481769084,Oluwatobi Okafor,72630365968,74345,NGN,pos_withdrawal,POS_WITHDRAWAL,SUCCESS,2024-10-17T00:00:00,4049147394654089
T81,46156034688,McVine Limited,47325240367,32268,NGN,salary,SALARY,SUCCESS,2022-09-19T00:00:00,1402270233459862
T82,65649593258,Benson Olu Johnson,28270572591,36181,NGN,salary,SALARY,SUCCESS,2022-07-21T00:00:00,5146855145208196
T83,48270536664,Sola James Danladi,01997401874,34120,NGN,pos_withdrawal,POS_WITHDRAWAL,SUCCESS,2021-07-10T00:00:00,2896807130802272
T84,68444092829,Sadiq James Okafor,60003587050,91473,NGN,tax,TAX,SUCCESS,2025-04-05T00:00:00,2977333862031059
T85,92089341934,Ibrahim Johnson,42393960299,66068,NGN,salary,SALARY,SUCCESS,2021-02-23T00:00:00,2450081931874927
T86,62263879743,Benson Balogun,91322078759,43413,NGN,refund,REFUND,SUCCESS,2024-10-04T00:00:00,1816667374758327
T87,24760272676,Yemi Adebayo,00085890877,96350,NGN,refund,REFUND,SUCCESS,2024-02-19T00:00:00,0185830713323026
T88,47786813667,Prime Limited,70576783882,68582,NGN,refund,REFUND,SUCCESS,2025-10-22T00:00:00,0083875586422721
T89,34698937809,Prime Limited,58080644565,66532,NGN,loan_repayment,LOAN_REPAYMENT,SUCCESS,2025-06-24T00:00:00,4295250480058935
T90,12170074530,Zola Limited,35686409564,29248,NGN,subscription,SUBSCRIPTION,SUCCESS,2025-07-28T00:00:00,4289362801182482
T91,60003587050,Sadiq Adeyemi,35992971056,14134,NGN,salary,SALARY,SUCCESS,2024-11-13T00:00:00,0869287441939772
T92,35182309739,McVine Limited,84629523996,30522,NGN,salary,SALARY,SUCCESS,2021-06-23T00:00:00,3626652655994519
T93,75372566769,Funke James Balogun,99425139441,79533,NGN,loan_repayment,LOAN_REPAYMENT,SUCCESS,2022-12-19T00:00:00,5737673687817748
T94,14873510859,Chinedu Olu Danladi,06353949315,71348,NGN,purchase,PURCHASE,SUCCESS,2022-07-25T00:00:00,1169152894148772
T95,83138783944,Adean Limited,25545459800,46086,NGN,tax,TAX,SUCCESS,2024-02-10T00:00:00,0135993978560726
T96,30485093743,McVine POS,74267250079,12548845,NGN,business_purchase,BUSINESS_PURCHASE,SUCCESS,2021-07-06T00:00:00,4944222627894714
T97,28386153274,McVine Limited,84629523996,12461,NGN,refund,REFUND,SUCCESS,2023-11-12T00:00:00,1034701629595799
T98,59757536105,Yemi James Okoye,07364092873,48723,NGN,subscription,SUBSCRIPTION,SUCCESS,2025-05-05T00:00:00,2930515265342248
T99,99803083464,Adebayo Ahmed,13528039777,27266,NGN,loan_repayment,LOAN_REPAYMENT,SUCCESS,2023-02-01T00:00:00,9750916696865470
T100,17495600896,Kobo POS,64430006350,5606,NGN,refund,REFUND,SUCCESS,2025-05-10T00:00:00,0175893296571288
T101,79922179394,Zola Limited,35686409564,62325,NGN,purchase,PURCHASE,SUCCESS,2024-01-17T00:00:00,4611855788203172
T102,07124201423,Adebayo James Bello,51819336855,10990347,NGN,business_purchase,BUSINESS_PURCHASE,SUCCESS,2024-09-29T00:00:00,4374359037306912
T103,72230051254,Zola Limited,02814854157,18768,NGN,tax,TAX,SUCCESS,2024-12-29T00:00:00,1435171392573092
T104,36029225094,Chukwudi Adeyemi,07001208944,36182,NGN,tax,TAX,SUCCESS,2022-03-03T00:00:00,9625248973205666
T105,33114158474,Adean Limited,95351595162,60526,NGN,subscription,SUBSCRIPTION,SUCCESS,2023-01-13T00:00:00,6903846920425582
T106,24130075732,Ibrahim Okafor,42081323886,38534,NGN,refund,REFUND,SUCCESS,2022-05-21T00:00:00,8173651899404245
T107,71652521148,Zola POS,44453508349,14559354,NGN,business_purchase,BUSINESS_PURCHASE,SUCCESS,2025-01-05T00:00:00,3714657879297423
T108,99130522288,Sadiq Adebayo,15564167900,65408,NGN,tax,TAX,SUCCESS,2022-01-26T00:00:00,9120745571271730
T109,84531895270,Chinedu Lawal,90634926312,72476,NGN,loan_repayment,LOAN_REPAYMENT,SUCCESS,2022-05-21T00:00:00,4662290926315375
T110,78785057456,McVine Limited,65266992450,5619,NGN,loan_repayment,LOAN_REPAYMENT,SUCCESS,2025-08-03T00:00:00,8402387249770843
T111,64389007858,Ibrahim Sadiq,07264830534,12806,NGN,loan_repayment,LOAN_REPAYMENT,SUCCESS,2024-04-11T00:00:00,2941034430398411
T112,77038014974,McVine POS,64673941740,37920,NGN,purchase,PURCHASE,SUCCESS,2021-11-28T00:00:00,4320175447616175
T113,65160154227,Oluwatobi Lawal,27757518427,3874,NGN,salary,SALARY,SUCCESS,2025-03-03T00:00:00,6181622593470861
T114,03236167606,McVine Limited,39888226182,40889,NGN,salary,SALARY,SUCCESS,2023-07-16T00:00:00,4520067364764898
T115,51151997502,McVine Limited,39888226182,34991,NGN,tax,TAX,SUCCESS,2025-05-22T00:00:00,9030698143314055
T116,77309313775,Yemi Danladi,44564182257,8681418,NGN,business_purchase,BUSINESS_PURCHASE,SUCCESS,2021-08-11T00:00:00,4221465646557257
T117,17241329417,Ibrahim Johnson,74253153722,20309,NGN,loan_repayment,LOAN_REPAYMENT,SUCCESS,2023-06-04T00:00:00,4920182006982881
T118,23128541046,Zola Limited,02814854157,54492,NGN,salary,SALARY,SUCCESS,2023-12-19T00:00:00,2534363510169375
T119,56339033447,Ngozi Okafor,05079480212,3850726,NGN,business_purchase,BUSINESS_PURCHASE,SUCCESS,2025-08-16T00:00:00,4963999486287577
T120,97060925445,Zola POS,44453508349,87632,NGN,loan_repayment,LOAN_REPAYMENT,SUCCESS,2025-12-26T00:00:00,9369667979424664
T121,85139539530,Chukwudi Ahmed,83776171622,5264012,NGN,business_purchase,BUSINESS_PURCHASE,SUCCESS,2021-07-16T00:00:00,4884514769081984
T122,22938516025,Ngozi Marie Bello,45630687191,96410,NGN,subscription,SUBSCRIPTION,SUCCESS,2021-06-05T00:00:00,8194117865687388
T123,09979360888,Zola Limited,12486873382,21726,NGN,refund,REFUND,SUCCESS,2020-05-26T00:00:00,0346226011112590
T124,48738750309,Adean Limited,36096287809,80027,NGN,subscription,SUBSCRIPTION,SUCCESS,2025-11-28T00:00:00,8021122734377289
T125,28222406644,Chukwudi Peter Balogun,59330102454,5203,NGN,loan_repayment,LOAN_REPAYMENT,SUCCESS,2021-07-26T00:00:00,2092064052369184
T126,84341800544,Yemi Johnson,87813504405,46977,NGN,subscription,SUBSCRIPTION,SUCCESS,2022-11-19T00:00:00,4013933929134365
T127,43975771152,Sadiq Okoye,50902328315,62643,NGN,refund,REFUND,SUCCESS,2020-07-27T00:00:00,8939088220167963
T128,34698937809,Prime Limited,10704537008,64017,NGN,loan_repayment,LOAN_REPAYMENT,SUCCESS,2022-02-12T00:00:00,2858660416145573
T129,78650975772,Chukwudi Ahmed,78615321444,13046,NGN,refund,REFUND,SUCCESS,2021-01-01T00:00:00,4690936650781222
T130,42271617640,Tunde Peter Ahmed,74266414504,79101,NGN,tax,TAX,SUCCESS,2021-01-15T00:00:00,2179006184721585
T131,36576485735,Zola Limited,02814854157,15949,NGN,loan_repayment,LOAN_REPAYMENT,SUCCESS,2020-08-18T00:00:00,6253000046158644
T132,84891315477,McVine Limited,39888226182,74289,NGN,subscription,SUBSCRIPTION,SUCCESS,2024-08-19T00:00:00,1169622421236968
T133,93358137523,Prime Limited,61118302114,45802,NGN,purchase,PURCHASE,SUCCESS,2023-04-30T00:00:00,7734439093784537
T134,88830923996,Zola Limited,95763529825,44887,NGN,tax,TAX,SUCCESS,2024-08-13T00:00:00,0767974318756051
T135,50818240586,Zola POS,44453508349,46369,NGN,pos_withdrawal,POS_WITHDRAWAL,SUCCESS,2023-12-17T00:00:00,4537414422930645
T136,47497795203,Kobo POS,64430006350,79376,NGN,refund,REFUND,SUCCESS,2021-08-07T00:00:00,1626186616076933
T137,66395202624,Zola POS,65043339563,58690,NGN,loan_repayment,LOAN_REPAYMENT,SUCCESS,2023-09-07T00:00:00,1055292446095339
T138,73269102286,Prime Limited,58080644565,4224223,NGN,business_purchase,BUSINESS_PURCHASE,SUCCESS,2024-11-02T00:00:00,9865355879035361
T139,56156670084,Ibrahim Johnson,73269102286,29618,NGN,refund,REFUND,SUCCESS,2021-08-07T00:00:00,3712978986197217
T140,14485564399,Adebayo Peter Lawal,81861106802,58416,NGN,pos_withdrawal,POS_WITHDRAWAL,SUCCESS,2024-08-31T00:00:00,3019570035183755
T141,13993582832,Funke Bello,16134964098,81176,NGN,pos_withdrawal,POS_WITHDRAWAL,SUCCESS,2022-11-09T00:00:00,8767693547406289
T142,99803083464,Oluwatobi Sadiq,61816638466,73362,NGN,gift,GIFT,SUCCESS,2020-04-23T00:00:00,1514586729676680
T143,93714261002,Oluwatobi Peter Lawal,70791741875,12063,NGN,salary,SALARY,SUCCESS,2024-04-28T00:00:00,2530620101837207
T144,44564182257,Hadiza Marie Ogun,44592321168,7963,NGN,loan_repayment,LOAN_REPAYMENT,SUCCESS,2022-01-21T00:00:00,2594016689074396
T145,67679101165,Ngozi Marie Danladi,45940834677,88003,NGN,purchase,PURCHASE,SUCCESS,2020-11-20T00:00:00,9339279852289430
T146,10362264102,McVine POS,64673941740,83108,NGN,tax,TAX,SUCCESS,2021-04-17T00:00:00,1907504510202970
T147,95795246357,Chinedu Marie Ogun,80283790485,25425,NGN,purchase,PURCHASE,SUCCESS,2022-04-19T00:00:00,1360882202671411
T148,40683305887,Blessing Peter Sadiq,99033324876,14940,NGN,purchase,PURCHASE,SUCCESS,2024-11-23T00:00:00,4325928407041894
T149,44548244702,Adean Limited,25545459800,80355,NGN,refund,REFUND,SUCCESS,2020-01-29T00:00:00,1013214710506936
T150,72630365968,Zola Limited,02814854157,49318,NGN,salary,SALARY,SUCCESS,2022-03-19T00:00:00,0570347023544075
T151,89198796284,Adean Limited,82878307132,8489,NGN,loan_repayment,LOAN_REPAYMENT,SUCCESS,2020-01-29T00:00:00,5796368353704116
T152,97376119998,Sola James Balogun,65967165032,3644020,NGN,business_purchase,BUSINESS_PURCHASE,SUCCESS,2020-04-15T00:00:00,1691301824130853
T153,84896822162,McVine POS,02511749351,43261,NGN,tax,TAX,SUCCESS,2020-09-20T00:00:00,0472987462384454
T154,80168912457,Benson Ogun,81363150729,9341,NGN,pos_withdrawal,POS_WITHDRAWAL,SUCCESS,2025-01-08T00:00:00,7632695610199296
T155,46168057882,McVine Limited,47325240367,56538,NGN,loan_repayment,LOAN_REPAYMENT,SUCCESS,2020-10-18T00:00:00,5323045743088471
T156,58028044499,Ngozi Marie Danladi,90083653257,94270,NGN,pos_withdrawal,POS_WITHDRAWAL,SUCCESS,2023-12-04T00:00:00,9351418709661254
T157,50796136864,Prime Limited,58080644565,8869329,NGN,business_purchase,BUSINESS_PURCHASE,SUCCESS,2021-12-16T00:00:00,9968163460728654
T158,63647859998,Blessing Ogun,43069968247,5672999,NGN,business_purchase,BUSINESS_PURCHASE,SUCCESS,2024-04-22T00:00:00,2214527361207441
T159,27955944877,McVine POS,26049363106,31589,NGN,subscription,SUBSCRIPTION,SUCCESS,2022-08-19T00:00:00,8896014271613626
T160,59757536105,Chukwudi Olu Adeyemi,36780187208,24456,NGN,tax,TAX,SUCCESS,2025-12-03T00:00:00,5123023719632210
T161,03362066111,Adean POS,87442137541,40407,NGN,pos_withdrawal,POS_WITHDRAWAL,SUCCESS,2023-09-23T00:00:00,4270571632131194
T162,07912049099,Kobo Limited,64223246993,34987,NGN,refund,REFUND,SUCCESS,2024-05-05T00:00:00,2589142296836838
T163,07302066593,Adean Limited,36096287809,36221,NGN,purchase,PURCHASE,SUCCESS,2024-02-18T00:00:00,9672281623481310
T164,67214160398,Tunde Adebayo,73073887804,41303,NGN,tax,TAX,SUCCESS,2022-09-04T00:00:00,7569937969604737
T165,29434633245,McVine POS,26049363106,42568,NGN,loan_repayment,LOAN_REPAYMENT,SUCCESS,2021-02-23T00:00:00,8180957034820519
T166,92766666552,Benson Lawal,95618174374,12668,NGN,gift,GIFT,SUCCESS,2024-08-28T00:00:00,0971919649896115
T167,10721469059,Adean Limited,25545459800,5455264,NGN,business_purchase,BUSINESS_PURCHASE,SUCCESS,2021-07-31T00:00:00,3867687481962222
T168,67679101165,McVine POS,26049363106,24227,NGN,loan_repayment,LOAN_REPAYMENT,SUCCESS,2022-10-07T00:00:00,7547335935829662
T169,34275540005,Prime Limited,58080644565,3359450,NGN,business_purchase,BUSINESS_PURCHASE,SUCCESS,2022-07-29T00:00:00,0344868240360567
T170,40451907440,Ngozi Marie Danladi,24760272676,32131,NGN,pos_withdrawal,POS_WITHDRAWAL,SUCCESS,2020-08-16T00:00:00,9387857669406234
T171,03350175056,Ibrahim Abdul Okafor,40804115037,24467,NGN,purchase,PURCHASE,SUCCESS,2020-12-22T00:00:00,0511136958125037
T172,86387256827,Adebayo Bello,37564112871,33510,NGN,subscription,SUBSCRIPTION,SUCCESS,2023-10-09T00:00:00,1227793874637428
T173,41594746010,Adean Limited,25545459800,45287,NGN,refund,REFUND,SUCCESS,2020-11-07T00:00:00,1997847806878856
T174,72642385904,Kobo Limited,37098022980,44959,NGN,tax,TAX,SUCCESS,2021-10-25T00:00:00,2646596186300573
T175,66698713177,Funke Olu Ogun,17416346811,56375,NGN,refund,REFUND,SUCCESS,2023-08-03T00:00:00,4385096647364377
T176,44441157107,McVine POS,02511749351,6441937,NGN,business_purchase,BUSINESS_PURCHASE,SUCCESS,2021-07-30T00:00:00,0728054445699812
T177,38996963107,Funke Ahmed,99295477294,65040,NGN,purchase,PURCHASE,SUCCESS,2020-12-14T00:00:00,8802976082062680
T178,34698937809,Sadiq Okoye,84898021324,13424,NGN,gift,GIFT,SUCCESS,2022-06-30T00:00:00,4501902477497483
T179,94433577056,McVine POS,64673941740,47690,NGN,subscription,SUBSCRIPTION,SUCCESS,2023-05-08T00:00:00,3828568627710323
T180,13107767186,Chinedu Danladi,29075942875,10872829,NGN,business_purchase,BUSINESS_PURCHASE,SUCCESS,2021-07-08T00:00:00,1268269363700301
T181,96874679384,Zola POS,65043339563,59673,NGN,tax,TAX,SUCCESS,2023-02-26T00:00:00,7397284199429721
T182,26047616322,McVine POS,26049363106,24841,NGN,salary,SALARY,SUCCESS,2023-02-28T00:00:00,0589361773647155
T183,25714589455,Yemi Adebayo,25576201867,81082,NGN,pos_withdrawal,POS_WITHDRAWAL,SUCCESS,2024-01-07T00:00:00,9376075386222325
T184,48483733296,Zola POS,44453508349,24265,NGN,subscription,SUBSCRIPTION,SUCCESS,2023-05-26T00:00:00,8987353400575308
T185,56389018421,McVine Limited,47325240367,82748,NGN,salary,SALARY,SUCCESS,2022-07-24T00:00:00,4163015073047842
T186,69073362384,McVine POS,02511749351,15873,NGN,gift,GIFT,SUCCESS,2024-08-21T00:00:00,0604687324842159
T187,88505354931,Funke Okoye,77038014974,66210,NGN,tax,TAX,SUCCESS,2025-08-18T00:00:00,3030939034634484
T188,57663841328,McVine POS,02511749351,57125,NGN,gift,GIFT,SUCCESS,2022-09-05T00:00:00,3405314802391230
T189,56413981961,McVine Limited,39888226182,10831,NGN,tax,TAX,SUCCESS,2021-06-10T00:00:00,0179473863434756
T190,58592722003,Yemi James Ahmed,99398746640,31421,NGN,tax,TAX,SUCCESS,2020-08-27T00:00:00,3407389135022912
T191,49132350752,Chukwudi Adeyemi,80842521168,28712,NGN,tax,TAX,SUCCESS,2021-03-18T00:00:00,7088296833807101
T192,77679367522,Adean POS,97924636869,66268,NGN,subscription,SUBSCRIPTION,SUCCESS,2025-02-05T00:00:00,3627580209081221
T193,71065692112,Adebayo James Bello,65445544178,93064,NGN,pos_withdrawal,POS_WITHDRAWAL,SUCCESS,2024-04-09T00:00:00,2717780561985648
T194,60743639056,Prime Limited,67632630482,20184,NGN,tax,TAX,SUCCESS,2020-10-01T00:00:00,5166016174709643
T195,04364535498,McVine Limited,42306272460,68469,NGN,refund,REFUND,SUCCESS,2020-10-28T00:00:00,6193531940162984
T196,68867833007,Kobo Limited,64223246993,89332,NGN,gift,GIFT,SUCCESS,2021-03-16T00:00:00,6123846485388704
T197,15813005410,Chinedu Okoye,94433577056,18489,NGN,purchase,PURCHASE,SUCCESS,2024-06-18T00:00:00,3282503755589901
T198,07078934881,McVine Limited,47325240367,56218,NGN,loan_repayment,LOAN_REPAYMENT,SUCCESS,2023-01-03T00:00:00,5274343599783866
T199,53428081759,Yemi Adebayo,47352985674,75757,NGN,refund,REFUND,SUCCESS,2023-06-02T00:00:00,5271887348437258
