account_id,bvn,bank_name,bank_code,account_number,account_type
A18_2,63666768696,First Bank,011,84072663850,current
A18_3,63666768696,Access Bank,044,05466589120,current
A18_4,63666768696,Zenith Bank,057,92089341934,savings
A19_1,25339655786,UBA,033,42393960299,current
A19_2,25339655786,GTBank,058,02690397285,savings
A20_1,82775299571,Zenith Bank,057,07574751590,current
A20_2,82775299571,GTBank,058,49044649006,savings
A20_3,82775299571,Access Bank,044,16573525471,savings
A20_4,82775299571,GTBank,058,48483733296,current
A21_1,08007855531,Union Bank,032,35262183758,savings
A21_2,08007855531,UBA,033,66602793116,savings
A22_1,16072433775,UBA,033,64427142646,savings
A22_2,16072433775,GTBank,058,29029772144,savings
A23_1,37588080098,Access Bank,044,46341440872,savings
A23_2,37588080098,Access Bank,044,06517396112,savings
A23_3,37588080098,Union Bank,032,67617477495,current
A23_4,37588080098,GTBank,058,86104320534,savings
A23_5,37588080098,Union Bank,032,32690535970,savings
A24_1,34101837512,Access Bank,044,76063353289,savings
A24_2,34101837512,Union Bank,032,35139635933,current
A24_3,34101837512,Access Bank,044,86876564331,savings
A25_1,37191275575,UBA,033,66970379677,savings
A25_2,37191275575,GTBank,058,53848399423,current
A25_3,37191275575,GTBank,058,98812685188,current
A26_1,01458098894,Union Bank,032,67128617400,current
A26_2,01458098894,Access Bank,044,21964721266,savings
A26_3,01458098894,First Bank,011,19505214624,savings
A26_4,01458098894,Union Bank,032,53957508033,savings
A26_5,01458098894,Zenith Bank,057,30261571336,current
A27_1,94117902783,GTBank,058,83138783944,current
A27_2,94117902783,Zenith Bank,057,87068530636,current
A27_3,94117902783,GTBank,058,14479646706,current
A27_4,94117902783,Access Bank,044,38691670073,current
A27_5,94117902783,Zenith Bank,057,90143401332,savings
A28_1,01591772669,Polaris Bank,076,40683305887,savings
A28_2,01591772669,Union Bank,032,75121705385,savings
A29_1,03744451304,Zenith Bank,057,88531929520,savings
A29_2,03744451304,First Bank,011,65135519167,current
A29_3,03744451304,Polaris Bank,076,85800656746,current
A30_1,85632844614,Access Bank,044,89135342202,current
A30_2,85632844614,Zenith Bank,057,84998971194,current
A30_3,85632844614,Zenith Bank,057,40342502586,current
A31_1,58487734515,Zenith Bank,057,03953164007,current
A31_2,58487734515,UBA,033,51819336855,current
A31_3,58487734515,UBA,033,72836957760,current
A31_4,58487734515,First Bank,011,26952045773,savings
A32_1,09103164798,Polaris Bank,076,43945568682,current
A32_2,09103164798,Polaris Bank,076,12529222733,current
A32_3,09103164798,Union Bank,032,25583371090,current
A33_1,67282521720,Access Bank,044,17059498419,current
A33_2,67282521720,Zenith Bank,057,20762780948,savings
A34_1,93499980519,Union Bank,032,37670326166,current
A34_2,93499980519,First Bank,011,85061132227,current
A34_3,93499980519,Polaris Bank,076,37066013458,current
A34_4,93499980519,GTBank,058,66932944937,current
A34_5,93499980519,Zenith Bank,057,78876575539,savings
A35_1,05551351250,Polaris Bank,076,48738750309,savings
A35_2,05551351250,Polaris Bank,076,94211679384,current
A35_3,05551351250,First Bank,011,36656315572,savings
A36_1,79474324118,UBA,033,54682045771,current
A36_2,79474324118,Union Bank,032,29557828954,current
A36_3,79474324118,Union Bank,032,09896449967,current
A36_4,79474324118,GTBank,058,64215228140,current
A36_5,79474324118,First Bank,011,95122698071,current
A37_1,36008562293,Union Bank,032,32463384877,current
A37_2,36008562293,UBA,033,93452129541,current
A37_3,36008562293,UBA,033,25259374774,current
A37_4,36008562293,Access Bank,044,17495600896,savings
A37_5,36008562293,GTBank,058,48270536664,current
A38_1,05407525649,GTBank,058,37094262809,savings
A38_2,05407525649,UBA,033,03500144758,savings
A38_3,05407525649,GTBank,058,89296529625,savings
A39_1,18021889255,Access Bank,044,07302066593,current
A39_2,18021889255,Zenith Bank,057,74253153722,savings
A39_3,18021889255,Zenith Bank,057,01767310332,savings
A39_4,18021889255,UBA,033,04551055780,current
A40_1,30999513134,Access Bank,044,46410383844,savings
A40_2,30999513134,Zenith Bank,057,36641337697,current
A40_3,30999513134,Access Bank,044,38315556594,savings
A40_4,30999513134,Union Bank,032,42687446267,current
A40_5,30999513134,Zenith Bank,057,09445965738,savings
A41_1,12616566937,Polaris Bank,076,54375530149,savings
A41_2,12616566937,Polaris Bank,076,87337530740,savings
A41_3,12616566937,UBA,033,81866192115,current
A42_1,24164061537,Zenith Bank,057,31164933313,current
A42_2,24164061537,Polaris Bank,076,68726011316,current
A43_1,41316669541,Polaris Bank,076,35644741572,savings
A43_2,41316669541,GTBank,058,25147751178,current
A44_1,57742476280,Union Bank,032,68646788555,savings
A44_2,57742476280,First Bank,011,37228960979,current
A44_3,57742476280,Zenith Bank,057,81827876452,current
A44_4,57742476280,GTBank,058,30774768445,savings
A44_5,57742476280,Zenith Bank,057,74630524228,current
A45_1,51878706809,GTBank,058,92623913362,savings
A45_2,51878706809,UBA,033,70412606894,savings
A45_3,51878706809,First Bank,011,42081323886,savings
A45_4,51878706809,UBA,033,05613279642,savings
A45_5,51878706809,GTBank,058,11734726267,current
A46_1,76863557208,Polaris Bank,076,99918536797,savings
A46_2,76863557208,UBA,033,50299327744,savings
A46_3,76863557208,Polaris Bank,076,23528536860,current
A47_1,78004463771,Union Bank,032,17287082075,savings
A47_2,78004463771,Polaris Bank,076,45081178617,savings
A47_3,78004463771,Zenith Bank,057,08243198597,current
A47_4,78004463771,Zenith Bank,057,22938516025,savings
A47_5,78004463771,GTBank,058,90428350253,savings
A48_1,45471972042,First Bank,011,15240970985,current
A48_2,45471972042,UBA,033,47556350612,current
A48_3,45471972042,Zenith Bank,057,93834291711,current
A48_4,45471972042,Zenith Bank,057,44592321168,savings
A49_1,28179302819,First Bank,011,10721469059,savings
A49_2,28179302819,First Bank,011,00941983041,current
A49_3,28179302819,Zenith Bank,057,83061212806,savings
A50_1,64840346729,Polaris Bank,076,13287095799,savings
A50_2,64840346729,Polaris Bank,076,22577795939,savings
A50_3,64840346729,Union Bank,032,15869079551,current
A50_4,64840346729,Polaris Bank,076,51006043683,savings
A50_5,64840346729,Access Bank,044,98305978893,current
A51_1,53397464375,Access Bank,044,10758751386,savings
A51_2,53397464375,Zenith Bank,057,91729180768,current
A51_3,53397464375,Access Bank,044,02637704414,current
A52_1,33875724700,Union Bank,032,99398746640,current
A52_2,33875724700,GTBank,058,21677222058,savings
A52_3,33875724700,First Bank,011,00086402694,savings
A53_1,33460518342,Polaris Bank,076,68472035969,savings
A53_2,33460518342,GTBank,058,40975986617,savings
A53_3,33460518342,UBA,033,91210062815,current
A53_4,33460518342,First Bank,011,99033324876,current
A54_1,11559117788,UBA,033,64386042337,current
A54_2,11559117788,Polaris Bank,076,24608194824,savings
A54_3,11559117788,GTBank,058,12877885135,savings
A54_4,11559117788,Access Bank,044,75518200031,current
A54_5,11559117788,UBA,033,85610351853,savings
A55_1,82800087222,Union Bank,032,64118269772,current
A55_2,82800087222,Union Bank,032,84235650998,current
A56_1,21096827821,UBA,033,24307517257,current
A56_2,21096827821,UBA,033,58881012871,current
A56_3,21096827821,Zenith Bank,057,62284835410,savings
A56_4,21096827821,UBA,033,41165481939,current
A56_5,21096827821,Union Bank,032,18103930427,savings
A57_1,47066493013,First Bank,011,28315300945,current
A57_2,47066493013,First Bank,011,46194719802,savings
A57_3,47066493013,Zenith Bank,057,20517736765,savings
A58_1,66064354166,UBA,033,56274678934,savings
A58_2,66064354166,UBA,033,04293069861,savings
A58_3,66064354166,Access Bank,044,70796492088,current
A58_4,66064354166,Union Bank,032,36418801638,current
A59_1,80814923876,Union Bank,032,19454676887,savings
A59_2,80814923876,Zenith Bank,057,44840608577,savings
A60_1,96357062363,First Bank,011,54417332553,savings
A60_2,96357062363,Union Bank,032,04504397040,savings
A61_1,87968564388,Zenith Bank,057,03675318487,current
A61_2,87968564388,Access Bank,044,16193477149,savings
A61_3,87968564388,Polaris Bank,076,74691450984,savings
A61_4,87968564388,First Bank,011,61816638466,savings
A61_5,87968564388,UBA,033,29941477278,savings
A62_1,26236969563,UBA,033,01300279610,current
A62_2,26236969563,Union Bank,032,25346652635,current
A62_3,26236969563,Polaris Bank,076,60347690728,current
A62_4,26236969563,Union Bank,032,89767567921,savings
A62_5,26236969563,Access Bank,044,11534515237,savings
A63_1,09576837507,Zenith Bank,057,54386329645,savings
A63_2,09576837507,GTBank,058,13269208371,current
A64_1,52983840815,UBA,033,62682887480,savings
A64_2,52983840815,GTBank,058,07001208944,current
A65_1,40656675709,GTBank,058,38012778262,current
A65_2,40656675709,Union Bank,032,90810535027,current
A66_1,29811621650,Access Bank,044,07431616934,current
A66_2,29811621650,First Bank,011,61589137762,current
A67_1,17843351688,Zenith Bank,057,86857202856,savings
A67_2,17843351688,Union Bank,032,32772453568,savings
A68_1,71155817907,First Bank,011,34409375882,savings
A68_2,71155817907,GTBank,058,33580292483,current
A68_3,71155817907,Union Bank,032,80842521168,savings
A69_1,43164564215,First Bank,011,95507620498,savings
A69_2,43164564215,GTBank,058,24157651695,savings
A69_3,43164564215,GTBank,058,23128541046,savings
A70_1,85706950964,GTBank,058,77601428284,savings
A70_2,85706950964,Zenith Bank,057,07055328414,current
A70_3,85706950964,Zenith Bank,057,25569325515,current
A70_4,85706950964,Access Bank,044,23377867461,savings
A70_5,85706950964,UBA,033,57866036884,current
A71_1,02367946290,GTBank,058,82055210201,current
A71_2,02367946290,UBA,033,73355700289,current
A72_1,38294401555,UBA,033,79445010696,savings
A72_2,38294401555,Union Bank,032,84357223735,savings
A72_3,38294401555,Polaris Bank,076,43829694178,savings
A72_4,38294401555,Zenith Bank,057,28837109408,savings
A73_1,83388521753,Polaris Bank,076,19646025362,current
A73_2,83388521753,Polaris Bank,076,24634273821,savings
A73_3,83388521753,Polaris Bank,076,96878581874,savings
A73_4,83388521753,Access Bank,044,14985773553,savings
A73_5,83388521753,UBA,033,08464335920,savings
A74_1,36656592357,Polaris Bank,076,94649033676,current
A74_2,36656592357,Union Bank,032,24835941076,savings
A74_3,36656592357,Union Bank,032,23094075916,savings
A74_4,36656592357,UBA,033,68322618068,current
A75_1,84895195547,Union Bank,032,34105712564,current
A75_2,84895195547,Polaris Bank,076,27757518427,current
A75_3,84895195547,GTBank,058,82065766265,current
A75_4,84895195547,First Bank,011,48126626100,savings
A76_1,11277214337,First Bank,011,35182309739,savings
A76_2,11277214337,Zenith Bank,057,70475946336,savings
A76_3,11277214337,GTBank,058,75142306924,savings
A76_4,11277214337,GTBank,058,12170074530,savings
A77_1,46397031514,Zenith Bank,057,07554553485,savings
A77_2,46397031514,First Bank,011,01223063108,savings
A77_3,46397031514,Access Bank,044,30981671243,savings
A77_4,46397031514,Zenith Bank,057,50818240586,current
A77_5,46397031514,GTBank,058,02709698463,current
A78_1,87065780251,Polaris Bank,076,17416346811,current
A78_2,87065780251,GTBank,058,56559959846,current
A78_3,87065780251,UBA,033,65279294379,savings
A79_1,59332808625,First Bank,011,13528039777,savings
A79_2,59332808625,Access Bank,044,48780608379,current
A80_1,38488266073,Access Bank,044,69975047134,savings
A80_2,38488266073,UBA,033,52346741355,savings
A80_3,38488266073,GTBank,058,22465143136,current
A81_1,13886492617,Union Bank,032,61402525247,savings
A81_2,13886492617,Zenith Bank,057,66395202624,savings
A81_3,13886492617,First Bank,011,06693128395,savings
A82_1,94501957093,UBA,033,92023999923,current
A82_2,94501957093,Access Bank,044,60396622199,current
A82_3,94501957093,Access Bank,044,41656216894,savings
A82_4,94501957093,Union Bank,032,65105718103,current
A83_1,93786711109,UBA,033,07184613412,current
A83_2,93786711109,GTBank,058,70247970998,current
A83_3,93786711109,First Bank,011,68847687395,savings
A84_1,54809537556,Union Bank,032,96946051585,current
A84_2,54809537556,Zenith Bank,057,44157242697,savings
A84_3,54809537556,Access Bank,044,07607796150,savings
A84_4,54809537556,GTBank,058,95618174374,savings
A84_5,54809537556,Access Bank,044,11262485082,current
A85_1,44608268210,UBA,033,29041666571,current
A85_2,44608268210,Zenith Bank,057,73073887804,savings
A86_1,62556617694,UBA,033,15564167900,savings
A86_2,62556617694,Access Bank,044,72640382662,savings
A86_3,62556617694,Polaris Bank,076,35306376013,current
A86_4,62556617694,Union Bank,032,94401148848,savings
A86_5,62556617694,Access Bank,044,82735267839,current
A87_1,83351611738,Polaris Bank,076,49231779404,savings
A87_2,83351611738,GTBank,058,19757188961,savings
A88_1,47509650405,UBA,033,57621195155,current
A88_2,47509650405,GTBank,058,17220634146,savings
A88_3,47509650405,GTBank,058,30378664331,savings
A88_4,47509650405,Access Bank,044,97418944674,savings
A89_1,91823193834,Polaris Bank,076,18736754465,current
A89_2,91823193834,GTBank,058,33857475260,current
A89_3,91823193834,Zenith Bank,057,15304345658,current
A89_4,91823193834,UBA,033,46088960115,current
A89_5,91823193834,First Bank,011,64282769979,savings
A90_1,56588099059,UBA,033,56413981961,savings
A90_2,56588099059,Access Bank,044,61869118886,current
A90_3,56588099059,Access Bank,044,64483240477,current
A90_4,56588099059,Access Bank,044,45395714617,current
A90_5,56588099059,Access Bank,044,40804790673,savings
A91_1,95049533921,First Bank,011,98620582128,savings
A91_2,95049533921,Polaris Bank,076,76976317215,savings
A91_3,95049533921,GTBank,058,30191497246,savings
A91_4,95049533921,First Bank,011,58028044499,savings
A92_1,37418094696,UBA,033,25462675693,savings
A92_2,37418094696,UBA,033,68001422100,savings
A92_3,37418094696,GTBank,058,96718168598,savings
A92_4,37418094696,GTBank,058,24969249731,savings
A92_5,37418094696,Zenith Bank,057,20392810923,current
A93_1,15461420077,Union Bank,032,27955944877,savings
A93_2,15461420077,UBA,033,09845936469,savings
A94_1,38387225962,First Bank,011,75405358490,savings
A94_2,38387225962,UBA,033,37426598572,savings
A94_3,38387225962,Zenith Bank,057,01649071103,savings
A94_4,38387225962,First Bank,011,41581472848,current
A94_5,38387225962,GTBank,058,39518775311,current
A95_1,13125176318,UBA,033,26741124216,savings
A95_2,13125176318,UBA,033,76083451996,savings
A96_1,46201189419,Polaris Bank,076,70791741875,current
A96_2,46201189419,Access Bank,044,47821224180,current
A96_3,46201189419,Zenith Bank,057,04261341323,savings
A97_1,60184138676,First Bank,011,95827723585,savings
A97_2,60184138676,Zenith Bank,057,98409754386,savings
A97_3,60184138676,Polaris Bank,076,42507912604,current
A98_1,14559417186,Access Bank,044,52766526639,current
A98_2,14559417186,UBA,033,81363150729,savings
A99_1,56778777385,Access Bank,044,76526798908,current
A99_2,56778777385,Polaris Bank,076,03190111129,savings
A99_3,56778777385,Polaris Bank,076,29513462082,current
A99_4,56778777385,First Bank,011,43635684317,savings
A100_1,72328129615,GTBank,058,12150333513,savings
A100_2,72328129615,First Bank,011,44143079374,current
A100_3,72328129615,Access Bank,044,97967793140,savings
A101_1,34840065292,UBA,033,65063743033,current
A101_2,34840065292,Union Bank,032,80749828948,savings
A101_3,34840065292,Union Bank,032,85139539530,current
A101_4,34840065292,Access Bank,044,45771135088,current
A101_5,34840065292,Polaris Bank,076,47271366162,savings
A102_1,46212907558,Access Bank,044,02514630369,savings
A102_2,46212907558,Zenith Bank,057,25957107588,current
A103_1,26353112749,Zenith Bank,057,69877849110,current
A103_2,26353112749,Zenith Bank,057,33885737082,savings
A103_3,26353112749,Polaris Bank,076,63294710441,savings
A104_1,75012067792,GTBank,058,25387650875,savings
A104_2,75012067792,Zenith Bank,057,91707998461,savings
A105_1,13322191117,First Bank,011,34768249488,current
A105_2,13322191117,Polaris Bank,076,93066356136,savings
A106_1,78131284244,Zenith Bank,057,69951414290,savings
A106_2,78131284244,Zenith Bank,057,84016336765,current
A106_3,78131284244,Union Bank,032,72642385904,savings
A106_4,78131284244,Access Bank,044,33340583741,current
A107_1,41666548534,First Bank,011,85763494022,current
A107_2,41666548534,UBA,033,59033034859,current
A107_3,41666548534,First Bank,011,04035304624,current
A107_4,41666548534,Access Bank,044,12926908222,current
A108_1,86975525543,Polaris Bank,076,64710785297,current
A108_2,86975525543,Polaris Bank,076,26889970242,current
A108_3,86975525543,GTBank,058,84896822162,savings
A108_4,86975525543,Access Bank,044,11284546011,current
A109_1,72560770832,Union Bank,032,95899282183,current
A109_2,72560770832,Zenith Bank,057,87921224805,savings
A109_3,72560770832,First Bank,011,34698937809,savings
A109_4,72560770832,First Bank,011,86967253938,savings
A109_5,72560770832,Zenith Bank,057,52409993972,savings
A110_1,96874088944,UBA,033,68740066714,current
A110_2,96874088944,Polaris Bank,076,30159878673,current
A110_3,96874088944,Access Bank,044,81153203338,savings
A111_1,00562042806,GTBank,058,79842298273,current
A111_2,00562042806,Polaris Bank,076,86926441226,savings
A111_3,00562042806,First Bank,011,36401366777,current
A111_4,00562042806,Polaris Bank,076,05094366878,savings
A112_1,26333955259,First Bank,011,87928672383,current
A112_2,26333955259,First Bank,011,71867012027,current
A112_3,26333955259,First Bank,011,18449541713,savings
A112_4,26333955259,First Bank,011,81152855955,current
A112_5,26333955259,Union Bank,032,92403291391,current
A113_1,10864950969,GTBank,058,30093319808,savings
A113_2,10864950969,First Bank,011,34691287996,current
A113_3,10864950969,UBA,033,68548454786,current
A114_1,60596679560,Access Bank,044,45595544783,savings
A114_2,60596679560,Union Bank,032,70747804737,current
A114_3,60596679560,UBA,033,62981176815,savings
A114_4,60596679560,Access Bank,044,30644677386,current
A114_5,60596679560,GTBank,058,80118610412,savings
A115_1,07141974404,First Bank,011,87552445668,current
A115_2,07141974404,First Bank,011,20055268166,current
A115_3,07141974404,UBA,033,60213229368,current
A115_4,07141974404,UBA,033,12798677786,current
A115_5,07141974404,Union Bank,032,60411479425,savings
A116_1,32618583125,Zenith Bank,057,88861097979,savings
A116_2,32618583125,Polaris Bank,076,80168912457,savings
A117_1,13812970842,Access Bank,044,28444873010,savings
A117_2,13812970842,UBA,033,03910766906,current
A117_3,13812970842,GTBank,058,48787338961,current
A117_4,13812970842,Zenith Bank,057,42576687413,savings
A117_5,13812970842,Access Bank,044,53785525336,savings
A118_1,07527791036,Polaris Bank,076,03275796822,savings
A118_2,07527791036,UBA,033,75235830780,savings
A119_1,41206457856,Zenith Bank,057,78124793964,savings
A119_2,41206457856,GTBank,058,32513320174,current
A119_3,41206457856,First Bank,011,82841384559,current
A119_4,41206457856,UBA,033,47675444837,current
A119_5,41206457856,First Bank,011,39306420106,current
A120_1,51516505148,GTBank,058,88505354931,savings
A120_2,51516505148,GTBank,058,83210112034,savings
A121_1,09172018298,Polaris Bank,076,10444428296,savings
A121_2,09172018298,Zenith Bank,057,76154857151,savings
A121_3,09172018298,Access Bank,044,54940482909,current
A122_1,22698282150,Union Bank,032,89697263293,savings
A122_2,22698282150,GTBank,058,60496487757,savings
A122_3,22698282150,Polaris Bank,076,58841936388,savings
A122_4,22698282150,Zenith Bank,057,13107767186,savings
A123_1,24329721838,UBA,033,50102525716,current
A123_2,24329721838,Polaris Bank,076,68046683841,current
A123_3,24329721838,UBA,033,45070953338,savings
A124_1,92699130604,GTBank,058,85205404199,current
A124_2,92699130604,Polaris Bank,076,38019436065,current
A124_3,92699130604,Union Bank,032,84648764446,savings
A124_4,92699130604,Zenith Bank,057,39743115071,savings
A125_1,62474270349,GTBank,058,30560588412,savings
A125_2,62474270349,Access Bank,044,73669535964,savings
A125_3,62474270349,Access Bank,044,18949664247,current
A126_1,83480035146,GTBank,058,22182112181,savings
A126_2,83480035146,GTBank,058,32433157647,savings
A127_1,19713359206,Access Bank,044,88982046057,current
A127_2,19713359206,First Bank,011,44336742495,savings
A127_3,19713359206,Zenith Bank,057,28422431820,savings
A128_1,25205344342,UBA,033,56790002133,current
A128_2,25205344342,Access Bank,044,16187527239,current
A128_3,25205344342,First Bank,011,87069982722,current
A128_4,25205344342,Zenith Bank,057,74731762453,savings
A129_1,37463247762,Union Bank,032,93666892351,savings
A129_2,37463247762,GTBank,058,39631618601,current
A130_1,22600518411,Access Bank,044,28386153274,savings
A130_2,22600518411,Union Bank,032,01038598457,current
A131_1,69387388416,UBA,033,08185607994,savings
A131_2,69387388416,First Bank,011,90173425406,current
A131_3,69387388416,UBA,033,37830193740,savings
A132_1,74421861171,Access Bank,044,68867833007,savings
A132_2,74421861171,GTBank,058,93204931628,savings
A132_3,74421861171,First Bank,011,70583669342,savings
A132_4,74421861171,UBA,033,31433408630,savings
A132_5,74421861171,GTBank,058,47497795203,current
A133_1,69636838436,Polaris Bank,076,07124201423,savings
A133_2,69636838436,UBA,033,27948137074,current
A133_3,69636838436,First Bank,011,72732099862,current
A134_1,51604909911,Access Bank,044,11463592849,current
A134_2,51604909911,Polaris Bank,076,31457787038,current
A135_1,51724436014,Polaris Bank,076,34654093514,current
A135_2,51724436014,Union Bank,032,77376303424,current
A135_3,51724436014,Union Bank,032,66662462698,savings
A135_4,51724436014,Union Bank,032,10737909814,current
A136_1,55857798157,Union Bank,032,98006567137,savings
A136_2,55857798157,Access Bank,044,45152278198,current
A136_3,55857798157,Access Bank,044,66812323546,savings
A137_1,02967027359,UBA,033,32336988084,savings
A137_2,02967027359,Access Bank,044,01597246856,savings
A137_3,02967027359,UBA,033,99803083464,savings
A137_4,02967027359,Access Bank,044,39946613678,savings
A138_1,17365814162,Polaris Bank,076,19972248115,current
A138_2,17365814162,Zenith Bank,057,06897663773,current
A139_1,82100797138,UBA,033,34779165108,current
A139_2,82100797138,GTBank,058,19844616875,current
A140_1,56285622908,UBA,033,14396895369,current
A140_2,56285622908,First Bank,011,35261831758,current
A140_3,56285622908,Union Bank,032,41162127707,savings
A141_1,69194890910,Union Bank,032,46963676786,current
A141_2,69194890910,UBA,033,64011692594,savings
A141_3,69194890910,Access Bank,044,71464500971,savings
A141_4,69194890910,First Bank,011,38750858672,savings
A141_5,69194890910,GTBank,058,15158112158,savings
A142_1,01291962099,UBA,033,93520821289,savings
A142_2,01291962099,UBA,033,52745261496,savings
A142_3,01291962099,Polaris Bank,076,50796136864,savings
A143_1,37392256430,GTBank,058,29715858035,current
A143_2,37392256430,First Bank,011,56819337955,current
A143_3,37392256430,Union Bank,032,41051137079,savings
A144_1,64443429579,Access Bank,044,79107548945,savings
A144_2,64443429579,Access Bank,044,45986469777,current
A144_3,64443429579,First Bank,011,27988566968,savings
A144_4,64443429579,First Bank,011,13130419368,savings
A145_1,24206399958,First Bank,011,37404158490,current
A145_2,24206399958,Polaris Bank,076,23241814813,current
A145_3,24206399958,Access Bank,044,08712143069,current
A145_4,24206399958,First Bank,011,14461773778,savings
A146_1,11015726397,First Bank,011,21276447176,savings
A146_2,11015726397,Polaris Bank,076,95621099460,savings
A146_3,11015726397,UBA,033,35792404013,current
A146_4,11015726397,Zenith Bank,057,72810632264,current
A146_5,11015726397,GTBank,058,93300583737,current
A147_1,22501660988,First Bank,011,37927015288,current
A147_2,22501660988,Polaris Bank,076,84790495056,savings
A148_1,29091845504,Access Bank,044,68747532751,savings
A148_2,29091845504,GTBank,058,52692180992,savings
A148_3,29091845504,GTBank,058,03630757463,savings
A148_4,29091845504,GTBank,058,60372206895,current
A148_5,29091845504,GTBank,058,92662432683,current
A149_1,27390118147,Union Bank,032,11446471700,current
A149_2,27390118147,Zenith Bank,057,08760201609,savings
A149_3,27390118147,UBA,033,58801788342,current
A150_1,61812581904,UBA,033,29203390014,current
A150_2,61812581904,Zenith Bank,057,56163831969,savings
A150_3,61812581904,Union Bank,032,78971147981,current
A150_4,61812581904,Polaris Bank,076,92091334647,current
A150_5,61812581904,Union Bank,032,19935545207,savings
A151_1,72090599038,Zenith Bank,057,42271617640,savings
A151_2,72090599038,Polaris Bank,076,60880300581,savings
A151_3,72090599038,Union Bank,032,41594746010,savings
A152_1,61134947253,Polaris Bank,076,12621758843,current
A152_2,61134947253,Union Bank,032,81861106802,savings
A153_1,05735602955,First Bank,011,95333163855,savings
A153_2,05735602955,Access Bank,044,07480160692,savings
A153_3,05735602955,Union Bank,032,86719576937,current
A153_4,05735602955,Zenith Bank,057,26907629695,current
A154_1,00738784412,First Bank,011,42861150848,savings
A154_2,00738784412,GTBank,058,45630448909,savings
A154_3,00738784412,Zenith Bank,057,72808213034,savings
A154_4,00738784412,GTBank,058,34581119344,savings
A155_1,39474201463,Zenith Bank,057,07421120844,savings
A155_2,39474201463,Union Bank,032,62809371344,savings
A155_3,39474201463,GTBank,058,94958581751,current
A155_4,39474201463,GTBank,058,08943762799,savings
A156_1,66507167622,Access Bank,044,33814943849,current
A156_2,66507167622,Access Bank,044,11415538642,savings
A157_1,98166447904,GTBank,058,14199487703,savings
A157_2,98166447904,Polaris Bank,076,52639960900,current
A157_3,98166447904,Access Bank,044,85731545363,savings
A158_1,85169195408,Zenith Bank,057,00716595079,current
A158_2,85169195408,GTBank,058,16218783200,savings
A158_3,85169195408,Access Bank,044,66514512804,current
A158_4,85169195408,First Bank,011,92174462486,current
A159_1,81015609946,Union Bank,032,51812327924,savings
A159_2,81015609946,GTBank,058,35274531168,current
A159_3,81015609946,First Bank,011,91751274452,current
A159_4,81015609946,First Bank,011,66453601055,current
A160_1,68953184122,First Bank,011,47853651268,savings
A160_2,68953184122,Access Bank,044,56648104021,current
A160_3,68953184122,First Bank,011,13352689928,current
A160_4,68953184122,Access Bank,044,05530484333,savings
